kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
good,5,ottawa,5,limit,9,#stayhome,8,everyone,7,talking,7,week,34
news,5,live,5,challenging,9,lives,7,question,7,job,7,international,33
stand,5,year,5,times,9,making,7,rent,7,canadas,7,meeting,33
communities,5,yesterday,5,click,9,kids,7,economies,7,owners,7,able,33
summary,5,senegal,5,announcing,9,days,7,families,7,ready,7,latest,33
iraq,5,development,5,countries,9,helping,7,kids,7,earlier,7,phone,32
cabinet,5,place,5,information,9,rent,7,youll,7,hard,7,jobs,32
matter,4,ties,5,supplies,9,funding,7,response,7,virus,7,difficult,32
looking,4,talked,5,talked,8,access,7,important,7,forward,7,economic,32
canadian,4,economies,5,needs,8,protective,7,testing,7,able,6,global,32
weeks,4,shared,5,take,8,latest,7,front,7,premiers,6,thoughts,32
days,4,family,5,leaders,8,talked,7,program,7,could,6,talk,32
watch,4,child,5,address,8,job,7,thanks,6,week,6,good,31
stay,4,priorities,5,economic,8,friends,7,economy,6,signed,6,times,31
role,4,celebrate,5,please,8,full,7,organizations,6,year,6,hard,31
house,4,creating,5,months,8,daily,7,thoughts,6,rent,6,million,31
press,4,announced,5,days,8,announcement,7,whether,6,lets,6,forward,30
@harjitsajjan,4,theres,5,whether,8,lets,7,pay,6,using,6,strong,30
thanks,4,safe,5,talk,8,facing,7,healthy,6,continue,6,community,30
ones,4,benefit,5,women,8,families,7,impacts,6,thank,6,prime_minister,30
incident,4,jobs,5,worried,8,territories,7,latest,6,available,6,announced,29
talking,4,matter,5,social,8,personal,6,virtual,6,national,6,loved,29
john,4,communities,5,info,7,coast,6,tough,6,head,6,leaders,29
latest,4,important,5,youve,7,ahead,6,child,6,learn,6,lives,28
happy,4,conversation,5,government,7,announced,6,increase,6,women,6,celebrate,28
australia,4,men,5,use,7,students,6,continue,6,running,6,whether,28
theatre,4,passing,5,staff,7,lost,6,indigenous,6,needed,6,women,27
mourning,4,fighting,5,able,7,provinces,6,public,6,programs,6,front,27
remember,4,increasing,5,lost,7,strong,6,canadian,6,protective,6,info,27
lives,4,sat,4,giving,7,owners,6,challenges,6,communities,6,provinces,27
mental_health,4,commitment,4,distancing,7,members,6,measures,6,doors,5,government,27
