;#alpolitics;state;alabama;#covid19;al;thank;new;work;proud;year;#yes4amendment1;great;@alpublichealth;#aledchat;alabamians;help;#coronavirus;@potus;members;education;march;alabamas;important;governor;als;3;take;students;full;health;continue;citizens;2020;best;vote;states;news;efforts;lets;support;#sboe;people;economic;visit;workforce;#strongstartstrongfinish;encourage;job;working;board;together;team;honor;family;ive;service;pandemic;@alabamaachieves;everyone;public;dr;amendment;learn;#alsboe;please;leadership;information;call;#togetheral;resources;development;tune;program;career;forward;future;stay;economy;local;join;#2020census;school;part;needed;spread;strong;opportunities;home;funding;group;provide;@cdcgov;challenges;@alabamacounts;serve;website;office;folks;hard;address
#yes4amendment1;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;10;14;16;4;0;2;2;16;8;4;0;0;2;0;0;2;18;2;0;0;6;4;22;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;2;0;10;0;20;0;2;0;0;0;0;2;0;0;0;0;4;0;0;2;2;0;6;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;4;2;0;0;2;4;4;2;0;0;0;2;0;0;0;4;0;0;2;8;0;0;0;0;2;2;2;2;0;0;4;2;0;2;4;0;2;0;2;4;0;2;0;2;0;2;0;0;4;2;0;0;2;2;0;0;2;2;0;0;0;4;2;0;0;2;0;0;4;0;0;0;0;0;0;4;0;2;0;0;2;2;0
@alpublichealth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;16;4;2;0;0;2;4;0;4;0;2;0;4;8;2;4;0;4;0;0;4;8;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;4;8;2;0;10;0;2;0;10;0;8;6;6;6;0;2;0;0;0;0;6;0;0;2;0;0;2;0;6;0;0;4;0;0;2;12;0;0;0;6;2;4;0;2
#aledchat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;10;14;18;4;0;2;2;16;8;8;2;0;2;0;0;2;16;2;0;0;6;2;24;0;0;0;0;2;2;0;0;12;0;0;0;0;0;0;0;0;0;2;2;8;4;20;0;2;0;0;2;0;2;0;4;0;2;6;0;0;2;2;0;6;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0
alabamians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;2;0;2;0;0;0;2;4;2;0;2;2;6;0;0;2;0;0;0;2;2;0;0;4;0;0;2;4;4;0;0;0;2;0;0;2;4;2;2;4;0;0;0;0;0;0;2;4;0;2;2;0;0;0;0;2;0;0;4;0;2;0;2;0;0;0;0;2;2;0;2;0;6;4;0;0;0;2;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;2;4;2;4;0;2;0;0;4;2;6;0;2;0;0;2;2;2;2;0;2;2;2;0;4;2;4;2;0;0;2;2;2;0;0;2;4;2;2;0;0;0;0;2;0;4;2;0;4;0;0;2;6;2;2;6;2;0;0;2;0;0;2;4;0;2;2;4;0;2;2;0;2;0;2;0;0;0;0
#coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;4;4;0;2;0;2;0;4;6;2;4;0;6;0;2;2;8;2;0;0;2;0;2;0;0;2;0;0;0;2;0;0;2;2;0;8;4;0;0;4;0;2;0;6;0;4;6;0;4;0;6;0;0;0;0;2;2;0;0;2;0;0;4;2;2;0;0;0;0;2;8;0;2;0;2;0;2;2;2
@potus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;4;0;2;2;2;2;0;0;4;2;4;0;0;0;0;4;0;0;2;0;0;0;0;6;0;2;0;0;0;0;0;2;4;4;4;0;0;0;0;2;0;2;0;2;4;0;0;0;0;2;4;4;0;0;2;0;0;0;2;0;0;0;2;0;0;4;0
members;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;2;2;2;6;4;4;0;0;0;0;0;2;6;0;0;4;8;2;6;2;0;0;2;0;0;4;2;12;2;2;2;4;2;6;4;0;4;4;2;4;0;6;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;2;2;2;4;4;0;2;0;2;0;2;0;0;0;2;2;0;0;2;0;2
education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;2;2;6;6;6;0;0;2;0;0;2;8;2;0;0;2;4;10;0;0;0;2;8;2;0;0;4;0;0;0;0;0;0;0;4;0;4;2;10;0;6;0;2;0;0;0;0;2;0;2;6;4;6;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0
march;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;20;8;8;0;0;2;0;4;0;18;2;0;0;4;0;14;2;0;0;0;0;4;0;0;8;0;0;2;0;2;2;0;0;0;2;0;10;2;12;0;2;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;4;0;0;0;0;4;2;0;2;0;0;0;2;2;0;4;0;0;0
alabamas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;2;2;0;0;0;2;0;2;2;2;4;4;2;0;4;2;0;0;4;4;2;0;2;0;0;0;0;0;0;0;0;4;2;0;2;0;0;4;0;0;2;0;0;0;0;2;0;2;0;4;0;2;2;2;2;2;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;4;0;4;0;2;0;4;0;2;2;2;0;2;2;2;0;0;0;4;4;4;4;2;2;0;0;0;0;0;2;2;0;2;0;4;2;2;0;2;0;0;2;4;0;0;2;2;4;0;0;0;0;0;4
governor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;2;2;2;0;2;0;4;0;0;4;0;2;4;0;0;2;2;0;2;4;2;4;0;6;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2
als;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;6;0;4;0;2;2;4;0;0;0;0;2;0;2;2;2;0;2;2;0;0;2;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;2;2;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;4
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;4;2;0;0;0;14;2;0;0;4;0;14;6;0;0;0;0;2;0;0;8;0;0;0;0;4;0;0;0;0;0;0;6;0;12;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;4;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;2;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;6;2;4;0;2;0;6;2;6;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;4;4;2;2;0;0;4;0;2;0;0;0;4;4;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;4;0;0;2;0
students;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;2;0;0;4;2;6;6;2;0;2;0;0;0;0;0;0;0;4;2;4;0;2;6;2;0;0;0;0;0;0;0;0;6;6;2;6;0;0;0;0;0;4;0;2;0;2;6;0;0;0;0;0;0;0;0;0;2;0;0;2
full;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;4;0;2;0;0;0;0;2;2;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;2;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;2;0;4;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;4;0;2;2;0;2;2;0;0;0;4;0;2;2;4;0;0;2;0;2;0;0;0;0;0;2;2;2;0;0;2;0;2;0;4;0;2;0;2;2;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;2;0;0;2;0;0;4;0;0;0;4;4;2;2;2;2;2;2;0;2;0;0;0;2;2;2;2;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;2
citizens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;0;0;0;0;0;0;0;2;0;2;0;4;0;2;0;2;4;0;2;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0
2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;6;2;4;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;6;2;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;2;2;0;4;2;2;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;14;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;2;0;12;0;14;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;6;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0;2;0;0;4;0;4;0;0;0;0;2;0;0;0;0;0;2
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;4;0;2;0;0;4;2;6;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;2;2;0;0;0;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
lets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;4;4;0;2;2;0;0;2;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0
#sboe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;2;8;0;20;0;2;0;0;0;0;2;0;0;0;2;6;0;0;2;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;2;0;4;0;2;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;0;0;0;2;2;0
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;12;0;2;0;0;0;0;0;2;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;0;2;0;0;2;2;0;0;4;0;0;0;2;0;0;0;2;2;2;2;0;0;0;4;0;0;0;0;2;0;2;2;4;0;2;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0
workforce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;2;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;4;0;2;0;2;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;2;0
#strongstartstrongfinish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;10;2;2;0;0;0;0;0;2;0;0;0;2;6;2;2;2;2;0;0;0;0;0;0;0;0;0
encourage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;4;4;0;0;2;0;0;2;0;2;2;0;0;0;2;2;0;4;2;0;4;0;4;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;2;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;2;0;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;6;2;0;0;0;0;0;0;0;0;0
board;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;4;0;6;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;2;0;2;0
team;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0
honor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;4;0;0;0;0;2;0;2;0;0;2
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0
ive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0
service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;2;4;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
@alabamaachieves;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;4;2;0;0;2;0;0;2;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;2;2;0;4;2;2;0;0;0;2;0;0;2;0;2;0;2;0;2;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
dr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;0;0;2;2;0;0;0;4;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;2
amendment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0
#alsboe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;2;0;0;0;10;0;0;0;2;2;0;0;0
