kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
fake,14,russia,16,america,16,do_nothing,12,work,16,@usdot,19,left,83
crime,14,win,15,new_york,15,congressman,12,second,16,win,19,win,81
election,14,dems,15,democrat,14,american,12,pennsylvania,16,good,19,united,79
job,14,good,15,support,13,press,12,coronavirus,16,incredible,19,white,77
another,13,states,14,bad,13,businesses,12,house,16,republican,18,hoax,77
radical,13,border,14,state,13,united,12,lamestream,16,state,18,party,77
united,13,history,14,history,12,military,12,border,15,media,18,working,77
win,13,campaign,13,workers,12,left,12,united,15,border,17,vote,73
china,13,carolina,13,president,12,crime,11,federal,15,hard,17,amendment,73
economy,13,do_nothing,13,order,12,@nytimes,11,congressman,15,history,17,border,72
trade,13,working,12,families,12,money,11,incredible,15,crime,16,hard,72
america,12,#2a,12,bill,12,business,11,mike,15,jobs,16,work,71
states,12,coronavirus,12,biden,12,night,10,republican,15,book,16,help,71
world,12,nothing,12,usa,11,spoke,10,democrats,15,seattle,15,federal,71
ukraine,12,house,12,decision,11,care,10,crazy,15,american,15,world,69
high,12,bad,11,full,11,new_york,10,political,15,dc,15,radical,66
unfair,12,witch,11,governors,11,happy,10,night,15,vote,15,congress,66
nancy,11,help,11,world,11,nothing,10,usa,15,guard,15,usa,65
transcripts,11,china,11,governor,11,enemy,10,election,15,help,15,bernie,65
@foxandfriends,11,usa,11,national,11,america,10,obamagate,15,court,15,nothing,65
chuck,11,tonight,11,love,11,new,10,ballots,15,night,14,dems,65
working,11,job,11,reserve,11,fighter,9,love,14,nothing,14,bad,65
trial,11,money,11,nothing,11,radical,9,win,14,states,13,second,65
record,11,wonderful,11,russia,11,countries,9,testing,14,defund,13,national,64
partisan,10,agenda,10,@foxnews,10,story,9,left,14,life,13,crime,64
corrupt,10,corrupt,10,eastern,10,wanted,9,greatest,13,important,13,do_nothing,62
nothing,10,record,10,cut,10,invisible,9,proud,13,tremendous,13,sleepy,62
case,10,hampshire,10,endorsement,10,hospitals,9,wisconsin,13,working,13,mini,61
wrong,10,scam,10,americans,10,sources,9,lost,12,world,13,congressman,60
deal,10,united,10,vote,10,failing,9,coming,12,corrupt,13,crazy,60
good,10,everyone,10,important,10,million,9,tonight,12,supreme,13,corrupt,59
zero,9,debate,10,early,10,loves,8,governor,12,sleepy,13,#maga,59
witnesses,9,jobs,10,nation,10,tremendous,8,george,12,looters,13,election,58
john,9,bloomberg,10,best,10,trump,8,democrat,12,election,13,russia,58
bernie,9,loves,10,ventilators,10,world,8,russia,12,governor,12,incredible,58
mike,9,american,10,trump,10,governors,8,caught,12,bad,12,biden,57
dollars,9,south,10,protect,10,take,8,white,12,democrat,12,order,56
cryin,8,supports,10,complete,10,morning,8,administration,12,jim,12,night,56
jobs,8,best,10,race,9,#maga,8,america,12,#maga,12,law,53
numbers,8,debates,9,corrupt,9,@cnn,8,together,12,numbers,11,money,52
totally,8,place,9,numbers,9,working,8,totally,12,bolton,11,jobs,52
court,8,think,9,ahead,9,times,8,congress,12,coming,11,numbers,49
texas,8,@cnn,9,quickly,9,joe,8,important,11,federal,11,love,49
vote,8,rally,9,low,9,wrong,8,dems,11,russia,11,testing,49
media,8,texas,9,act,9,especially,7,case,11,west,11,new_york,49
hard,8,judge,9,congress,9,worse,7,farmers,11,oklahoma,11,best,47
mini,8,congratulations,9,possible,9,530,7,@usdot,11,black,11,senate,47
witch,8,countries,9,bloomberg,9,ratings,7,minneapolis,11,taxes,11,senator,47
money,8,night,9,lives,9,needed,7,tiffany,11,highly,10,together,46
iranian,7,#kag2020,9,wonderful,9,ohio,7,guy,11,justice,10,lamestream,46
endorsement,7,john,9,general,9,government,7,socalled,11,new_york,10,totally,46
border,7,polls,9,incredible,9,wants,7,trying,11,congratulations,10,police,45
love,7,trial,9,prevail,9,congress,7,twitter,11,john,10,republicans,45
americans,7,senator,9,safe,9,party,7,crime,11,act,10,john,44
crazy,7,economy,8,borders,9,late,7,biden,11,money,10,governor,44
question,7,phony,8,situation,9,helping,7,cold,11,watch,10,court,43
federal,7,joe,8,presidential,8,sleepy,7,supports,11,november,10,important,43
pelosi,7,stop,8,sanders,8,hes,7,@greggjarrett,11,badly,10,political,43
national,7,wall,8,health,8,democrat,7,republicans,11,testing,10,loves,43
political,7,crime,8,help,8,told,7,guard,11,dems,10,tonight,43
aid,7,totally,8,senator,8,recently,7,funding,11,north,10,conference,42
soleimani,7,senate,8,soon,8,call,7,corrupt,11,china,10,government,42
fact,7,numbers,8,msdnc,8,vets,7,strongly,11,area,10,administration,42
killed,7,report,8,republicans,8,given,6,@foxnews,11,take,9,wrong,41
hit,7,administration,8,enemy,8,jobs,6,#maga,10,safe,9,ventilators,41
wall,7,honor,8,chinese,8,republican,6,party,10,mike,9,congratulations,41
hunt,7,sanders,8,god,8,ban,6,john,10,run,9,@foxandfriends,41
