;#covid19;live;provide;may;fight;indiana;et;state;virtual;press;hold;updates;livestream;130;watch;conference;ct;230;hoosiers;tune;order;health;executive;website;twitter;hour;minutes;15;facebook;business;businesses;resources;@statehealthin;information;available;found;support;states;help;across;hoosier;social;@cdcgov;continue;people;#inthistogether;million;work;economic;capacity;funding;critical;school;care;announced;remain;distancing;face;public;education;recovery;new;county;stage;medical;indianas;pandemic;services;plan;additional;testing;signed;manufacturing;positive;program;workforce;50;workers;days;ppe;monday;assistance;reopen;community;emergency;communities;contact;economy;federal;click;home;spread;shields;number;next;grant;local;#backontrack;providers;counties
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;2;10;0;16;6;8;10;12;2;0;0;8;0;10;4;14;8;10;10;0;0;4;2;2;2;2;0;6;10;2;0;2;6;6;2;0;2;0;0;2;0;4;6;8;4;0;6;0;4;2;4;0;6;0;2;8;0;4;0;0;4;4;2;2;6;0;0
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;10;4;14;18;6;8;8;0;0;2;4;0;4;4;10;2;12;8;0;4;4;2;0;6;2;2;12;12;2;0;4;0;6;2;0;4;0;0;2;0;0;4;0;8;0;2;0;0;0;6;4;6;0;4;0;0;2;0;4;0;4;0;6;0;2;0
@statehealthin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;50;2;0;2;0;2;0;48;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;6;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;2;0;0;0;2;4;0;0;0;0;4;0;2;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;50;0;2;4;0;0;2;48;0;0;2;2;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;4;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;8;2;2;0;2;4;0;6;2;6;2;14;12;0;0;0;2;2;2;0;0;6;2;2;0;2;2;2;4;2;2;2;0;2;0;4;4;0;2;0;0;10;6;0;0;0;6;0;0;10;0;2;0;0;0;0;6;4;0;0;2
found;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;4;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;4;10;0;0;2;2;4;6;2;10;2;8;6;0;0;2;2;0;4;0;6;4;6;4;0;6;8;4;2;0;4;0;2;2;0;4;6;0;2;0;4;0;4;0;0;2;6;0;2;2;2;0;0;2;0;2;2;2;6;2;2
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;2;2;10;6;2;0;4;14;2;0;8;0;2;2;2;2;4;6;0;8;6;4;2;6;6;4;6;0;4;0;0;6;0;6;6;0;8;0;0;0;2;4;6;6;0;0;10;0;2;2;4;4;0;2;0;2;2;4;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;4;12;6;6;6;0;6;4;0;2;6;0;2;0;0;2;2;2;2;0;2;0;8;0;0;2;4;0;0;0;8;2;2;2;0;4;0;8;0;6;2;6;0;0;8;2;2;4;0;0;2;2;0;2;2;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;8;6;0;2;2;2;0;2;0;6;4;0;2;2;0;2;0;0;2;0;2;10;4;0;0;8;0;0;0;0;2;2;4;2;6;0;2;2;0;2;4;0;2;0;0;2;4;2;2;2;0;4;0;0;6
