;idaho;thank;idahos;state;covid19;#idleg;public;businesses;#idahocovid19;coronavirus;idahoans;work;help;health;order;information;#idpol;available;may;conference;great;rebound;people;stayhome;#idedu;spread;support;press;new;2020;happy;economic;economy;join;care;workers;@whitehouse;cash;good;please;federal;teacher;important;house;families;million;take;protect;11;stage;continue;office;provide;government;year;emergency;visit;citizens;bonuses;grants;2;host;election;confirmed;statewide;school;protocols;actions;follow;opportunity;plan;thanks;guidance;efforts;live;president;working;students;relief;white;news;lives;return;march;across;morning;rebounds;local;national;part;capital;property;career;employees;committed;healthcare;latest;pay;safely;future
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;4;0;0;0;0;2;2;0;4;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;2;4;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2
rebound;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;4;0;0;14;6;0;0;2;4;10;2;0;4;0;0;2;0;6;0;2;0;0;2;0;0;0;0;2;2;4;8;10;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;2;0;0;2;2;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;4;0;4;0;2;0;4;2;0;0;4;2;0;0;2;4;0;0;2;0;0;4;2;0;2;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
stayhome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;14;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0
#idedu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;2;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;2;0;0;0;0;2;8;0;0;0;0;0;0;4;0;0;0;0;0;0;2;8;0;0;0;0;4;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6;0;4;2;2;0;2;6;0;0;0;0;0;2;0;2;0;2;4;0;2;0;0;0;0;0;0;0;4;2;0;4;2;0;0;6;4;0;2;0;2;0;0;0;2;0;0;0;2;4;0;2;0;0;2;0;0;4;0;0;0;0;4;2;0;0;4;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;2;2;0;2;0;4;0;0;0;0;0;0;2;0;0;0;2;2;2;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;4;2;0;0;2;0;2;0;0;0;4;0;0;4;0;0;0;0;0;2;0;2
press;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;0;0;0;0;0;0;0;2;0;0;2;14;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;0;2;2;0;2;0;0;4;0;0;0;0;0;0;2;0;2;0;0;2;2;4;2;0;2;2;2;0;2;0;0;2;0;2;0;0;0;2;0;4;0;0;0;2;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0
2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;6;0;0;4;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
happy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;4;0;4;0;0;2;0;2;0;0;2;0;2;0;0;2;0;0;2;2;8;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;6;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;2;4;2;4;4;0;0;0;0;2;2;4;0;0;0;2;0;0;0;0;2;4;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;6;2
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;2;0;4;2;0;0;2;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;2;2;2;0;0;0;2;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;2;2;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0
@whitehouse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;4;2;0;2;0;0;0;0;0;4;2;0;0;0;2;0;2;0;0;0;0
cash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;2;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;0;2;0;0;4;2;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;4;2;0;2;0;2;10;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;4;2;0;0;10;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;2;0
teacher;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;2;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;12;2;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;2;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;2;0;0;8;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
stage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;4;2;0;0;8;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;14;2;0;0;0;0;0;0;0;0;0;0;4;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;2;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0
office;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;4;0;2;0;2;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;2;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0
citizens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0
bonuses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;12;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
grants;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
host;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
confirmed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2
statewide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0
