;testing;#covid19;tennessee;covid19;state;tennesseans;visit;health;free;new;group;across;economic;businesses;tennessees;care;todays;guidance;recovery;briefing;information;live;efforts;work;bulletin;safely;local;order;95;test;guidelines;week;business;thanks;home;states;doubt;available;unifiedcommand;help;ct;near;site;pandemic;relief;facebook;counties;critical;capacity;@tndeptofhealth;support;access;89;county;update;weekend;reopening;executive;continue;may;find;#tennesseepledge;interpretation;learn;reopen;offer;expanded;tune;safety;economy;starts;program;contact;full;rural;tested;social;public;tennessean;continues;working;300;protect;community;ppe;days;stay;drivethrough;lives;close;workers;sites;400;sick;5;traditional;safe;remember;department;next
group;0;0;0;0;0;0;0;0;0;0;0;10;48;14;18;10;12;18;48;6;16;2;10;6;10;10;0;4;12;2;12;14;12;10;2;6;8;4;40;6;0;0;2;2;4;2;10;6;16;4;4;2;12;0;2;6;8;2;8;10;0;12;2;2;2;2;4;0;2;6;2;0;0;6;2;0;6;2;2;8;6;0;4;2;0;0;2;0;0;0;4;4;0;0;0;2;8;2;0;6
across;0;0;0;0;0;0;0;0;0;0;0;0;10;10;6;4;4;2;6;0;2;2;8;6;4;4;24;4;8;14;0;12;6;8;2;0;14;10;10;0;0;30;26;8;4;0;2;2;4;6;0;2;0;26;4;22;0;2;2;2;14;0;2;4;0;28;10;2;6;4;0;4;6;0;14;8;0;2;0;10;4;2;0;4;4;26;0;18;0;6;2;18;0;6;26;10;2;8;12;2
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;34;12;0;18;26;66;14;4;12;6;8;8;14;0;4;14;0;14;12;28;2;2;8;0;0;0;2;10;0;0;10;14;12;12;0;12;0;2;6;14;0;12;2;6;2;0;2;0;16;10;6;4;2;4;4;0;6;10;12;2;8;2;0;6;8;0;4;6;8;6;2;2;0;4;0;0;2;0;0;8;0;0;0;8;0;2;4
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;8;12;18;8;4;2;6;16;2;24;0;0;24;0;24;4;24;2;0;10;0;0;0;8;2;0;0;4;16;2;22;10;10;0;6;12;24;0;4;0;12;0;4;4;0;20;2;6;14;2;0;0;6;14;2;16;12;10;2;0;4;0;2;2;4;2;4;2;12;0;2;0;0;10;10;0;2;0;0;0;8;0;0;4
tennessees;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;8;8;6;4;12;4;8;8;10;16;6;4;14;2;14;8;0;10;0;2;2;0;14;2;2;0;2;8;4;4;14;10;12;2;10;8;14;0;4;2;12;2;8;10;6;2;4;2;6;2;4;0;4;4;4;2;6;14;6;0;0;2;0;4;6;2;2;6;8;0;0;0;2;6;8;2;2;0;0;2;0;2;0;6
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;8;6;2;16;8;10;4;14;4;0;2;0;2;0;16;2;10;0;4;14;8;2;0;10;10;2;2;0;22;6;2;12;2;0;0;2;0;2;4;2;4;0;0;2;2;0;0;6;2;6;0;2;6;0;0;6;0;0;0;2;0;8;2;4;4;16;0;0;4;8;0;28;6;2;0;0;2;0;0;0;4
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;16;66;2;40;16;6;18;6;2;10;0;2;2;0;0;2;6;2;2;2;4;6;38;0;0;2;4;34;0;0;6;0;8;2;0;0;18;2;8;8;2;0;0;0;32;0;2;0;6;16;2;4;34;2;0;0;8;0;2;0;6;2;4;26;2;0;2;0;0;0;2;0;0;0;26;0;0;0;2;2;0;8
guidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;8;0;6;8;2;8;10;0;6;18;2;12;8;8;2;0;10;0;0;0;2;4;0;0;4;0;6;16;0;10;2;0;18;18;0;6;4;6;6;8;10;4;22;6;2;10;0;4;2;6;6;6;0;4;14;2;0;8;2;2;4;0;4;8;0;2;0;2;2;0;4;0;2;4;0;0;0;8;0;0;0
recovery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;10;6;4;8;12;0;4;14;0;14;12;12;2;2;4;0;0;0;2;8;0;0;4;0;10;14;2;12;0;4;2;14;0;10;2;6;2;2;2;0;14;8;2;4;0;4;4;0;4;8;0;2;8;2;0;6;4;0;2;6;6;6;2;2;0;4;0;0;2;0;0;6;0;0;0;8;0;0;4
briefing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;42;14;2;6;2;2;0;0;2;0;0;0;0;6;2;2;2;2;2;40;0;0;2;2;36;0;0;6;0;6;2;0;0;16;2;6;0;0;2;0;2;34;0;0;0;6;20;2;0;34;2;2;0;6;0;0;0;4;2;2;28;2;0;2;0;0;0;2;2;0;0;26;0;0;0;0;2;0;6
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;10;8;0;14;0;0;2;16;2;4;16;14;16;0;2;0;2;4;2;0;2;0;2;14;6;0;0;6;0;6;0;6;12;16;2;0;0;2;0;4;2;0;2;0;0;0;0;2;0;0;4;12;4;10;0;0;2;0;2;0;2;2;0;0;4;0;0;0;0;6;0;6;8;2
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;44;0;0;0;2;48;0;2;4;0;2;0;0;0;26;0;4;2;0;0;0;0;38;0;0;0;4;26;2;0;32;0;0;0;6;0;0;0;0;0;0;32;0;0;4;0;0;0;0;0;0;0;28;0;0;0;0;0;0;2
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;4;4;2;2;2;2;0;10;6;2;2;2;12;0;8;0;2;2;0;10;4;2;2;6;2;6;0;0;6;2;4;2;8;6;0;2;8;0;2;2;14;8;4;2;6;0;2;2;2;0;4;0;4;4;4;8;2;2;6;2;0;4;4;2;10;4;6;0;2;2;2;2;0;6
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;20;8;6;4;12;8;2;4;10;2;10;12;2;2;10;0;0;0;4;2;2;2;8;6;4;4;4;4;0;2;2;6;4;6;2;0;6;0;4;10;0;6;2;4;14;0;0;6;0;2;2;14;2;4;0;2;0;0;2;4;0;2;2;0;4;2;4;0;6;0;4;8;4;0;0
bulletin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;34;0;0;2;2;0;2;4;0;0;0;6;2;0;0;0;0;6;0;0;0;6;0;6;0;0;0;12;8;12;30;2;4;0;2;0;0;2;0;12;0;0;0;0;2;4;0;6;0;2;2;0;8;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;2;0;0;8
safely;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;24;4;22;2;8;0;4;6;2;4;0;6;0;0;2;2;0;0;24;4;14;2;0;6;24;0;0;2;8;4;4;2;0;16;0;0;20;0;2;2;2;10;0;0;8;14;0;2;8;0;4;0;0;0;10;0;0;0;4;0;0;8;0;6;0;2;0;4;2;0;0;2
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;16;0;10;0;10;0;4;14;16;2;2;0;10;6;6;0;0;0;8;2;4;4;0;0;24;2;2;0;0;0;4;4;0;2;0;0;14;0;2;6;0;0;0;2;0;4;4;0;0;2;0;4;2;0;8;2;14;0;4;0;0;4;4;0;2;16;18;2;4;24;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;8;0;0;0;0;2;0;0;0;4;2;2;0;4;6;0;4;0;0;0;8;2;6;40;4;4;0;0;0;0;4;0;6;2;6;0;0;0;4;4;0;0;6;0;4;6;2;0;2;2;2;0;2;0;0;4;0;0;0;0;0;0;6;0;0;2
95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;26;14;8;2;0;12;4;2;0;2;0;4;4;0;0;0;42;0;20;2;0;12;44;14;0;0;10;0;0;4;2;22;0;2;10;12;0;0;2;4;0;0;8;16;0;2;4;0;0;0;0;0;4;0;2;8;0;0;0;6;0;0;0;0;10;6;6;0;8;0
test;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;38;14;2;4;0;16;8;0;0;0;0;4;2;6;0;0;0;12;0;10;2;0;0;4;12;0;0;10;0;6;6;0;0;0;0;0;2;0;0;4;4;0;6;2;0;0;0;0;0;6;0;12;0;0;0;8;0;6;6;14;2;18;10;2
guidelines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;2;0;8;0;0;0;6;0;0;0;2;0;0;22;0;14;0;0;18;26;0;0;0;12;2;2;4;0;20;0;2;16;0;0;0;6;6;0;0;10;24;0;0;4;0;0;0;0;0;10;0;0;0;0;0;0;8;0;0;0;0;0;0;10;0;0;2
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;4;2;2;2;0;4;2;6;4;0;6;0;8;0;4;2;6;8;0;0;6;0;0;0;2;6;0;2;0;12;0;0;2;2;0;2;0;6;2;0;4;0;0;0;2;0;2;4;0;14;0;0;0;0;0;0;0;0;10;8;6;0;8;6
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;0;0;0;8;0;0;0;4;22;0;6;0;6;0;6;4;8;0;0;0;2;0;0;0;0;10;0;12;4;0;0;0;2;8;0;20;2;4;0;0;0;4;0;0;4;0;4;6;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;0;10;0;0;0;4;4;0;0;2;6;4;8;4;4;0;0;0;4;2;0;8;10;0;0;0;2;2;4;2;0;0;2;0;0;2;0;0;0;2;0;2;8;6;0;0;4;4;2;2;4;2;2;8;4;0;0;2;2;0;4;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;8;0;2;0;2;4;4;0;2;0;0;2;2;2;0;2;0;2;0;0;4;0;0;0;0;2;0;0;0;4;2;0;4;2;0;8;0;0;0;4;0;0;0;18;0;18;4;0;0;0;4;0;0;0;0;0;4
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;0;2;2;2;0;8;4;0;0;2;12;10;2;0;2;2;0;0;2;0;8;0;2;2;0;4;0;2;10;0;8;2;4;0;0;0;0;4;0;0;0;2;0;2;0;0;0;2;2;0;2;0;0;2;0;6;2;2;0
doubt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;4;0;14;12;0;0;0;0;2;2;2;0;0;0;14;0;14;2;0;4;6;10;0;0;6;0;4;6;0;0;0;0;0;2;0;0;4;4;0;6;6;0;0;0;0;0;4;0;10;0;0;0;4;0;6;4;12;2;20;12;0
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;12;8;4;0;0;0;0;2;6;0;0;0;14;0;8;0;0;0;2;10;0;0;2;0;0;0;0;0;0;0;0;4;0;0;6;0;2;6;4;0;0;0;2;2;2;0;8;0;4;0;10;0;4;2;16;0;4;12;4
unifiedcommand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;2;4;6;4;0;0;0;2;10;0;0;8;10;2;0;0;2;0;2;8;0;4;0;0;0;2;0;2;2;0;0;2;8;4;0;0;0;0;0;0;4;0;2;6;8;0;2;0;2;0;2;0;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;12;2;0;2;2;2;0;0;0;0;2;2;2;2;6;0;14;4;0;0;0;2;8;0;0;0;4;2;0;6;4;4;0;8;0;2;8;6;2;4;0;2;0;8;0;0;4;0;0;4;0;0;2
ct;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;38;0;0;2;2;2;0;0;0;20;0;4;0;0;0;0;0;34;0;0;0;4;24;2;0;32;0;0;0;4;0;0;2;0;0;0;30;0;0;2;0;0;0;0;0;0;0;28;0;0;0;0;0;0;2
near;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;2;0;0;0;14;0;14;2;0;0;2;32;0;0;4;0;16;4;0;0;0;0;0;10;0;8;16;0;0;2;6;0;0;0;0;0;16;2;18;0;10;0;6;0;10;16;4;0;8;4;2
site;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;14;0;12;2;0;0;6;24;0;0;4;0;14;6;0;0;0;0;0;8;0;10;12;0;0;0;8;0;0;0;4;0;12;2;18;0;8;4;6;0;8;12;0;0;6;2;4
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;6;2;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;2;2;0;2;0;8;4;2;2;2;0;2;0;2;2;0;0;0;0;4;0;0;0
relief;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;10;0;0;0;2;0;2;2;0;0;0;0;2;4;2;2;0;2;0;6;0;22;0;0;4;0;0;0;2;2;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;24;0;4;2;0;0;0;0;36;0;0;0;4;18;2;0;32;0;0;0;4;0;0;0;0;0;0;30;0;0;4;0;0;0;0;0;0;0;28;0;0;0;0;0;0;2
counties;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;0;12;40;0;0;0;10;0;0;6;0;18;0;0;8;0;0;0;2;4;0;0;6;14;0;0;4;0;0;2;0;0;4;0;2;0;0;0;0;6;0;0;0;0;0;0;4;0;0;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;0;0;2;2;0;2;2;0;0;0;0;0;2;0;4;2;0;4;0;2;0;0;2;0;0;0;4;0;4;0;0;2;16;0;0;0;0;0;14;2;0;0;0;2;6;2;0;0
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;20;0;0;2;6;4;0;0;0;12;2;0;6;0;2;2;0;2;0;0;4;4;0;0;4;0;4;0;0;2;4;0;0;0;0;0;0;2;0;2;0;0;0;4;4;0;0;4
@tndeptofhealth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;2;2;4;0;0;4;0;0;2;0;0;0;0;0;2;0;0;2;2;10;0;0;4;0;0;2;2;0;12;2;2;2;2;4;0;2;0;2;0;0;2;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;2;4;2;0;0;2;2;0;2;0;0;4;4;2;8;0;0;8;0;0;0;2;4;2;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2;0;6;4;4;12;0;4;6;2;0;0;6;4;0;2;2;8;0;0;2;2;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2
89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4;0;22;0;2;10;0;0;0;2;4;0;0;8;16;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;6;0;0;0;0;0;0;6;0;0;0
county;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;24;2;0;2;0;0;0;2;0;12;6;0;2;0;2;0;0;0;2;0;20;0;4;0;0;0;6;0;2;22;16;0;4;20;2
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;8;0;2;0;0;18;0;0;0;8;16;2;2;14;0;0;0;6;0;0;0;0;4;0;18;0;0;4;0;0;0;0;0;0;0;14;0;0;0;0;0;0;4
weekend;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;4;10;0;0;0;0;0;12;0;0;0;0;0;6;0;0;6;0;2;6;14;0;0;0;2;0;0;2;16;0;6;0;12;0;6;0;4;0;10;0;2
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;2;0;4;0;4;0;4;2;2;2;4;0;2;4;4;0;4;0;0;4;2;4;2;0;0;0;0;0;0;2;0;0;4;0;0;0;8;2;0;10
executive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;4;0;6;2;0;0;0;0;4;2;0;0;6;0;0;6;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;4;0;0;2
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;6;0;0;0;6;4;0;0;0;0;0;0;4;0;4;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;4;4;4;0;2;0;0;0;8;6;2;2;2;0;0;10;0;0;2;4;0;2;0;4;2;6;4;2;0;2;2;0;2;4;2;4
find;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;0;0;0;0;10;0;0;16;0;0;0;4;0;0;0;2;0;2;2;14;0;10;0;4;0;10;2;2;0;8;2;2
#tennesseepledge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;0;0;0;8;4;0;0;4;12;0;0;6;0;2;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0
interpretation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;14;2;0;32;0;0;0;6;0;0;0;0;0;0;32;0;0;2;0;0;0;0;0;0;0;26;0;0;0;0;0;0;2
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;4;4;2;0;6;4;4;2;0;6;0;0;4;0;0;4;0;0;4;0;0;0;8;0;2;2;0;0;0
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;16;0;0;8;8;0;0;2;0;2;0;0;0;8;0;0;0;0;0;0;6;0;0;0;0;0;0;4;0;0;0
