;montana;montanans;covid19;continue;testing;virus;state;health;distancing;together;stay;communities;social;care;new;another;protect;help;home;work;spread;neighbors;thank;community;families;montanas;phase;across;mask;reopen;ensure;safe;businesses;take;wear;cases;workers;capacity;public;montanan;part;remain;masks;still;tribal;especially;normal;actions;fight;family;lives;hands;loss;precautions;friends;may;reopening;face;honor;move;curve;healthy;plan;difficult;forward;response;ask;efforts;economic;grants;guard;national;lost;supplies;vulnerable;rural;important;due;ramp;maintain;grateful;support;states;isnt;big;safety;nation;asking;quickly;life;lets;local;slow;supply;responders;cloth;crisis;critical;able;economy
mask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;18;4;0;0;6;0;2;0;0;0;0;0;4;2;0;0;0;6;0;0;0;0;2;2;0;0;0;0;0;6;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;8;0;0;0;4;2;0;2;2;2;0;6;0;0;0;0;8;0;0;0;0
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;4;0;0;0;8;2;2;0;2;0;2;0;0;4;8;0;0;2;0;0;2;0;8;2;0;0;2;0;0;6;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;2;0;2;0;0;0;0;0;0;0;0;4;2;10;0
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;4;6;4;2;0;2;6;4;0;0;0;2;2;4;0;0;0;0;0;0;0;4;0;0;4;0;0;2;0;2;0;2;0;0;2;0;2;0;6;0;0;0;0;6;0;0;2;0;0;0;4;2;0;0;0;0;0;0;4;2;0;0;2;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;0;4;0;4;4;4;2;2;0;4;2;2;0;0;2;0;2;4;2;4;0;2;0;2;0;0;6;0;2;0;0;2;0;0;0;2;4;0;2;2;0;2;0;0;2;0;4;0;2;2;0;2;0;0;2;4;0;0;0;2;4;0;2;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;4;0;0;2;0;0;0;0;0;0;2;0;0;0;4;2;0;0;2;0;0;2;2;2;2;0;0;2;8;0;0;0;0;0;0;0;0;0;4;0;4;2;0;2;0;0;0;0;0;2;4;0;0;0;2;0;0;2;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;4;2;2;0;0;4;0;2;2;4;0;2;0;2;4;10;2;0;2;4;0;0;4;0;2;2;0;0;2;0;0;0;2;2;0;0;4;0;0;6;0;0;0;0;0;2;2;0;2;2;0;0;0;0;2;0;0;4;4;0;2;0
wear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;2;0;0;2;4;2;0;0;0;6;0;2;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;8;0;0;0;4;2;0;0;2;0;0;2;0;0;0;0;8;0;0;0;0
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;6;2;0;6;2;0;0;0;2;0;2;0;2;4;0;0;4;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;4;0;0;0;2;4;0;0;4;0;6;0;2;0;2;2;0;0;0;2;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;4;0;2;0;0;0;0;0;0;6;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;2;0;2
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;6;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;4;2;0;4;2;0;2;0;2;2;2;0;4;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;2;0;2;0;0;2;2;0;4;2;0;0;2
montanan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;6;0;10;4;0;10;2;10;2;0;0;0;2;0;2;4;2;0;2;4;0;0;0;0;0;2;0;6;0;0;2;0;0;2;0;0;0;0;2;2;2;0;4;0;0;0;0;0;0;2;0;0;2
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;2;4;4;0;2;0;0;0;0;0;0;6;0;0;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;4;0;0;0;0;2;0;0;0;0
remain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;4;0;2;0;2;0;2;2;0;6;0;0;4;2;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0
masks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;6;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;0;0
still;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;4;0;2;2;0;4;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;2;4;2;0;2;0;0;0;0;2;0;0;0;4;0
tribal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;4;0;0;0;0;4;6;0;2;2;2;0;0;0;0;0;0;6;0;2;2;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0
especially;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;0;0;0;0;4;0;0;0;0;4;0;0;0;2;0;0;0;6;0;0;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
normal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0
actions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;2;0;0;4;0;0;2;4;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;2;0;2;2;2;0;0;0;0;0;2;0;0;0;4;0;0;0
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;4;0;2;2;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;10;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;4;0;6;0;0;4;0;0;0;0;0;2;0;2;0;0;0;10;2;0;0;0;0;0;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;2;0;2;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2
hands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;6;0;0;0;0
loss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;2;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;6;0;0;0;0;0;0;2;2;2;2;0;6;0;0;0;0;0;0;0;0;0;0
precautions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0
friends;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;2;0;0;2;0;0;0;0;0;4;0;4;0;0;2;0;0;0;0;0;2;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
