;city;toronto;health;public;covid19;community;housing;new;work;distancing;working;social;response;care;torontos;medical;residents;officer;continue;park;safe;together;services;important;take;home;staff;emergency;critical;torontonians;spread;workers;stay;service;citys;support;next;provincial;essential;vulnerable;part;provide;people;protect;crisis;rail;coronavirus;information;update;prevent;ensure;measures;ontario;deck;safety;shelter;details;step;affordable;budget;homelessness;planning;building;plan;province;risk;government;everyone;prepare;physical;months;week;frontline;advice;strong;confirmed;free;future;year;music;necessary;act;works;sites;days;tomorrow;moment;child;good;west;big;homeless;build;mayor;remains;test;3;downtown;nonstop;supportive
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;16;4;14;14;4;16;12;16;8;8;14;10;4;10;0;2;10;4;4;0;10;2;4;0;4;0;0;4;10;4;10;0;0;4;2;2;6;0;2;6;4;0;4;2;4;2;2;2;8;2;6;2;4;2;6;0;0;0;2;2;8;2;4;0;4;6;2;0;2;0;4;0;4;4;2;0;8;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;6;10;0;4;14;8;16;8;8;6;4;6;4;0;2;8;16;0;0;6;0;0;2;4;0;0;6;0;0;0;4;2;0;0;0;0;0;0;4;0;2;0;4;8;0;8;0;0;10;0;2;0;2;0;2;2;2;0;2;0;2;2;14;0;6;0;0;0;0;6;2;8;2;0;0;0
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;8;14;14;6;2;6;2;8;8;14;0;4;20;4;2;4;0;2;6;0;0;4;0;2;6;4;2;0;8;6;6;0;0;2;2;4;2;2;6;2;2;2;0;0;0;2;6;6;2;0;2;0;0;0;0;2;2;6;2;2;2;6;0;0;0;0;0;0;2;6;8;2;2;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;2;2;6;10;2;8;6;8;10;4;8;4;6;6;6;2;0;6;0;0;4;12;0;2;2;2;0;0;6;2;0;2;0;2;0;4;0;0;0;4;4;8;10;0;4;4;6;2;4;0;0;0;0;8;0;0;2;0;4;0;0;0;2;4;4;0;0;2;8;0;0;0;2;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;4;2;4;10;8;10;2;2;4;10;2;4;8;6;2;4;2;6;6;2;0;2;6;0;6;0;6;0;0;0;8;0;0;2;0;0;4;0;0;0;0;2;0;2;8;8;0;6;0;0;4;2;0;6;2;2;0;2;2;2;2;4;0;6;2;4;4;0;0;0;4;2;6
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;10;6;26;4;0;2;0;0;8;0;10;0;2;8;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;6;2;4;4;2;2;0;4;0;0;0;0;0;2;0;4;0;0;4;4;0;0;0;2;0;2;0;0;0;0;0
staff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;10;2;10;8;8;2;2;0;6;4;2;2;4;6;2;6;0;4;2;2;4;10;2;6;4;0;4;0;0;4;6;6;2;6;0;2;4;0;0;2;0;0;4;0;0;10;6;0;2;4;4;4;6;0;2;2;0;2;0;0;0;4;0;6;0;0;4
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;0;10;2;16;12;8;2;2;10;4;0;8;2;4;10;0;2;0;2;0;2;2;6;0;6;6;2;4;0;0;0;8;0;0;2;4;0;4;0;0;0;0;4;2;0;0;10;0;0;0;4;4;2;2;2;0;0;6;0;0;0;2;0;2;2;0;2;0;0;2
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;20;10;0;8;6;4;14;4;16;8;6;4;0;4;0;4;0;8;2;2;2;2;4;4;2;2;0;6;2;0;4;2;2;0;4;2;6;8;0;10;2;2;4;8;0;0;2;2;0;0;0;2;2;0;4;2;22;0;2;0;2;0;0;0;2;8;4;0;0;2
torontonians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;6;0;2;0;4;0;2;2;12;4;0;6;4;0;4;2;4;4;0;14;2;2;4;0;2;0;2;2;0;2;4;0;2;16;0;4;0;0;4;10;4;0;0;0;0;2;6;4;0;2;2;4;0;0;0;4;2;0;0;4;2;2;0;8;0
