;great;people;complete;big;endorsement;military;joe;police;fake;thank;law;left;vets;strong;country;news;amendment;job;radical;trump;second;biden;order;congressman;america;president;new;@foxnews;national;senator;democrats;anarchists;washington;@usdot;win;good;incredible;republican;state;media;border;hard;history;crime;jobs;book;seattle;american;dc;vote;guard;help;court;night;nothing;states;defund;life;important;tremendous;working;world;corrupt;supreme;sleepy;looters;election;governor;bad;democrat;jim;#maga;numbers;bolton;coming;federal;russia;west;oklahoma;black;taxes;highly;justice;new_york;congratulations;john;act;money;watch;november;badly;testing;dems;north;china;area;take;safe;mike;run
law;0;0;0;0;0;0;0;0;0;0;0;12;2;0;0;0;6;2;12;0;4;10;36;4;2;4;6;2;0;0;12;4;2;0;4;2;2;0;0;0;2;0;4;4;0;0;4;0;2;2;0;0;4;0;2;4;10;4;0;0;0;0;2;4;8;6;2;2;0;0;0;0;4;6;0;0;0;0;4;0;0;2;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;2
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;2;0;44;4;2;8;10;0;2;2;4;0;4;0;20;8;0;0;2;0;0;0;2;6;0;4;2;4;0;2;10;0;0;0;4;2;2;0;2;0;12;2;0;0;8;0;2;2;12;6;0;10;2;6;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;2;0;2;0;8;0;0;6
vets;0;0;0;0;0;0;0;0;0;0;0;0;0;32;10;0;24;8;2;2;24;0;0;24;2;2;6;0;0;14;0;0;0;0;0;2;16;2;8;0;14;16;0;14;4;0;0;0;4;10;0;4;4;0;0;0;2;10;0;8;8;0;0;4;0;0;0;0;0;0;4;2;0;0;0;2;0;4;6;0;16;4;0;8;0;0;0;0;0;4;0;0;0;4;0;0;0;2;4;0
strong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;22;6;0;0;22;0;2;20;2;2;4;2;2;10;0;0;0;0;4;2;6;0;4;2;14;8;0;14;6;2;0;2;4;10;0;4;2;0;2;0;0;6;0;8;6;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;6;2;0;18;2;0;6;0;0;0;2;2;6;0;0;0;4;0;0;0;2;2;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;8;6;0;4;0;2;6;0;4;4;0;2;8;0;8;0;0;2;4;0;2;0;2;4;2;2;4;2;2;4;4;2;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2;4;2;4;4;0;0;4;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;4;0;2;4;2;0;2;0;4;4;2;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;2;0;2;0;2;2;2;0;4;2;6;0;2;2;16;0;0;4;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;4;4;0;0;6;0;2;6;4;0;0;2;0;4;0;2;2;2;0;0;0;0;2;0;0;0;0;6;0;4;4;0;0;2;2;0;2;0;4
amendment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;48;2;2;30;0;0;6;0;0;6;2;0;2;0;4;0;16;2;4;0;22;14;2;2;2;0;0;0;0;8;0;0;6;0;0;0;0;14;2;16;8;2;2;6;0;0;2;0;0;0;2;0;0;0;2;0;0;6;8;0;6;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;10;0;8;2;2;8;2;0;2;0;0;2;2;8;4;2;0;2;4;0;0;0;0;0;0;8;2;6;2;0;2;2;2;0;4;2;4;2;2;2;0;0;0;2;2;2;0;2;6;0;0;0;0;2;2;2;0;2;0;2;0;0;0;0;0;2;0;0;4;0;2;2;2;0;2;2;0
radical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;10;2;2;2;4;0;2;0;18;8;0;0;0;0;0;0;2;4;0;6;2;4;0;0;10;0;0;2;2;2;2;0;0;0;12;2;0;0;8;0;2;2;12;4;0;10;2;4;0;0;2;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;2;2;2;0;2;0;0;0;8;0;0;4
trump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;16;4;4;0;0;4;0;0;0;2;0;0;2;0;2;0;2;2;2;2;4;0;0;2;2;0;0;4;6;0;2;0;2;2;0;2;0;4;4;0;0;0;0;0;2;0;0;0;0;2;4;2;0;0;4;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;0;0;0;0;0
second;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;4;0;0;4;2;0;2;0;0;0;16;0;4;0;22;14;0;2;2;0;0;0;0;6;0;0;2;0;0;0;0;14;2;16;8;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;6;8;0;6;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
biden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;4;0;0;2;0;0;0;0;0;2;0;0;0;8;2;2;0;0;0;12;2;14;2;2;2;2;2;0;0;0;0;0;0;4;0;0;6;0;0;2;0;0;0;0;2;0;0;4;0;4;0;2;0;0;0;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;10;4;4;0;4;2;0;0;0;0;0;0;6;2;0;0;4;4;4;0;2;0;4;2;4;0;6;2;2;0;0;2;2;4;6;4;4;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
congressman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;16;4;4;0;20;18;0;0;2;0;0;0;0;8;0;2;0;0;0;0;2;10;0;12;10;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;4;8;0;6;4;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;2;0;4;0;2;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;2;0;2;0;0;0;4;4;2;0;0;4;2;2;0;0;2;0;0;2;0;0;0;0;0;0;2
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;8;0;2;0;0;0;0;4;0;2;0;2;6;6;4;0;0;2;4;2;0;2;4;2;2;6;0;2;0;2;2;0;4;4;0;0;2;0;0;0;2;4;0;2;0;0;0;2;0;4;0;2;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;0;6;0;0;6;4;0;0;0;2;4;2;10;0;2;2;0;0;0;8;0;4;0;2;8;2;0;0;0;2;8;2;2;2;2;0;0;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0
@foxnews;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;2;0;0;4;4;4;2;2;4;0;0;0;0;0;0;2;0;4;0;2;0;0;2;0;2;0;0;0;0;0;2;2;0;4;0;0;2;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;4;0;0;0;4;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;2;0;0;4;4;2;0;0;2;2;2;0;0;2;10;0;26;0;0;4;6;0;0;0;2;0;0;2;0;0;0;2;4;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2
senator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;8;0;0;4;0;6;2;2;0;0;0;4;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;4;2;0;4;0;4;2;4;2;0;0;0;2;2;0;0;0;0;0;0;2;2;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;2;4;2;0;2;0;0;0;0;0;2;0;6;0;12;2;0;0;2;0;4;2;8;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;2;0;6;0;0;2
anarchists;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;2;0;2;0;0;0;2;0;0;0;16;0;4;0;2;0;0;0;4;2;0;2;0;0;4;2;0;0;4;16;0;8;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;2;4;0;0;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;4;0;0;0;0;2;0;0;2;0;14;0;8;0;0;6;2;0;0;0;4;2;0;0;0;0;0;4;0;2;0;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;4;8;0;0;0;0;2;0;0;0;2
@usdot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;4;0;0;0;0;0;0;6;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;14;0;6;0;0
win;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;2;0;0;4;0;0;2;0;0;2;4;2;2;0;0;4;2;0;0;2;2;2;2;0;8;0;0;2;0;4;2;2;2;0;0;0;0;0;0;2;0;0;6;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;2;8;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;2;2;0
incredible;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;2;6;6;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;2;0;2;6;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;2;0;0;0;2;6;0;0;2;0;0;0;2;2;2;0;0;0;0;2;0;4;0;4;2;0;0;0;2;0;0;2;4;0;2;0;2;4;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;0;0;0;0;2;4;2;0;0;0;0;0;2;0;2;0;0;4;2;2;0;4;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;4
border;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;4;0;10;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;2;4;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;16;0;0;0;0;0;2;0;0;4;4;4;2;0;0;0;0;2;4;0;4;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;4;2;4;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;2;6;0;4;2;0;0;0;0;6;8;2;0;2;8;0;2;0;0;0;2;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crime;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;6;2;4;0;2;2;0;4;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;0;2;0;6;8;0;4;2;0;0;0;2;0;4;0;0;0;4;0;0;0;0;0;2
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;6;0;4;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
book;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
seattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;6;0;12;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;4;0;0;4
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0
dc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;4;0;8;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;4;0;2;0;0;0;0
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;6;0;0;0;2;0;0;2;2;0;0;4;2;0;0;2;0;0;4;0;0;4;0;2;6;0;0;0;0;0;6;0;0;0;2;0;0;0;2;0;0
guard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;2;0;0;2;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;4;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;6;0;4;2;2;2;4
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;4;0;0;0;0;2;20;0;0;2;0;0;0;0;0;0;2;2;4;0;0;0;0;0;4;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
night;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;4;2;0;2;0;4;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;4;0;0;0;0;2;0;2;0;2;2;0;4
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4
defund;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;2;2;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2
tremendous;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;4;2;0;2;2;2;4;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;4;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;4;2
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;2;4;0;0;0;0;0
corrupt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sleepy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0
looters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4
