Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
"There are currently over 2,000 unfilled manufacturing jobs outside of Maricopa and Pima Counties. The #AZBalanced budget prioritizes funding for STEM and workforce training. #TheArizonaWay",212,2020-01-17 22:32:21,Twitter Media Studio,11,3,dougducey,1218300052013109249,,20217019,False,https://t.co/wIDQ4u8qkt,en,January,Q1,"['currently', '2000', 'unfilled', 'manufacturing', 'jobs', 'outside', 'maricopa', 'pima', 'counties', '#azbalanced', 'budget', 'prioritizes', 'funding', 'stem', 'workforce', 'training', '#thearizonaway']"
"Let’s make our highways safer &amp; smarter than ever before &amp; pave the way to get all of AZ logged on. #TheArizonaWay #AZBalanced
 
✔️$59M in funding to install 500 miles of broadband conduit along strategic corridors
✔️$10M to bolster telecommunication infrastructure in rural areas",312,2020-01-17 22:31:02,Twitter Media Studio,32,9,dougducey,1218299719341899776,,20217019,False,https://t.co/bilegK8mL5,en,January,Q1,"['lets', 'highways', 'safer', 'smarter', 'pave', 'az', 'logged', '#thearizonaway', '#azbalanced', '59m', 'funding', 'install', '500', 'miles', 'broadband', 'conduit', 'along', 'strategic', 'corridors10m', 'bolster', 'telecommunication', 'infrastructure', 'rural', 'areas']"
Arizona is focused on resources and results in our K-12 public schools. The #AZBalanced budget expands successful programs to reach MORE students and put them on the path to success. #TheArizonaWay,221,2020-01-17 22:24:01,Twitter Media Studio,12,6,dougducey,1218297950834552832,,20217019,False,https://t.co/JC55wgYX1h,en,January,Q1,"['arizona', 'focused', 'resources', 'results', 'k12', 'public', 'schools', '#azbalanced', 'budget', 'expands', 'successful', 'programs', 'reach', 'students', 'put', 'path', 'success', '#thearizonaway']"
"The #AZBalanced budget maintains fiscal discipline, saves more for a rainy day and ensures the important investments we’re making in public schools, students and beyond are sustainable➡️  #TheArizonaWay",249,2020-01-17 22:22:49,Twitter Media Studio,6,1,dougducey,1218297649012428801,,20217019,False,https://t.co/bSRDBXGtXu,en,January,Q1,"['#azbalanced', 'budget', 'maintains', 'fiscal', 'discipline', 'saves', 'rainy', 'ensures', 'important', 'investments', 'making', 'public', 'schools', 'students', 'beyond', 'sustainable', '#thearizonaway']"
"Arizona is focused on school safety. The #AZBalanced budget doubles funding for school safety to fund more cops on campus, counselors and social workers. #TheArizonaWay",192,2020-01-17 22:06:41,Twitter Media Studio,14,6,dougducey,1218293589471457280,,20217019,False,https://t.co/5TN39LDqcI,en,January,Q1,"['arizona', 'focused', 'school', 'safety', '#azbalanced', 'budget', 'doubles', 'funding', 'school', 'safety', 'fund', 'cops', 'campus', 'counselors', 'social', 'workers', '#thearizonaway']"
The #AZBalanced budget invests $44 MILLION in the Project Rocket program to close the achievement gap and jumpstart student success. #TheArizonaWay 📚,173,2020-01-17 22:04:51,Twitter Media Studio,10,5,dougducey,1218293127628259328,,20217019,False,https://t.co/0p73CaDJGM,en,January,Q1,"['#azbalanced', 'budget', 'invests', '44', 'million', 'project', 'rocket', 'program', 'close', 'achievement', 'gap', 'jumpstart', 'student', 'success', '#thearizonaway']"
"@Hockey_darling Thank you for sharing your story, Denise. We're proud to work with you to address this important issue.",119,2020-01-17 21:49:42,Twitter Web App,2,0,dougducey,1218289315299479552,193170534.0,20217019,False,,en,January,Q1,"['@hockey_darling', 'thank', 'sharing', 'story', 'denise', 'proud', 'work', 'address', 'important', 'issue']"
"We’re not going on a spending spree. Our new investments are targeted and sustainable. This budget prepares for the future, maintains fiscal discipline and saves more for a rainy day. #TheArizonaWay #AZBalanced",234,2020-01-17 21:46:50,Twitter Media Studio,18,8,dougducey,1218288594697109504,,20217019,False,https://t.co/PJtrALtLJe,en,January,Q1,"['spending', 'spree', 'new', 'investments', 'targeted', 'sustainable', 'budget', 'prepares', 'future', 'maintains', 'fiscal', 'discipline', 'saves', 'rainy', '#thearizonaway', '#azbalanced']"
"Talented, high-quality teachers at the front of classrooms are making a difference for Arizona students. The #AZBalanced budget gives them another pay raise 📚 #TheArizonaWay #20x2020",206,2020-01-17 21:34:27,Twitter Media Studio,12,8,dougducey,1218285481055510529,,20217019,False,https://t.co/YbxmLryKCU,en,January,Q1,"['talented', 'highquality', 'teachers', 'front', 'classrooms', 'making', 'difference', 'arizona', 'students', '#azbalanced', 'budget', 'gives', 'another', 'pay', 'raise', '#thearizonaway', '#20x2020']"
"Here's our fiscally conservative, balanced budget. 

It makes responsible investments in priorities like education, public safety, infrastructure and more while providing tax relief to our veterans. 

We’re ready to get to work. 

#TheArizonaWay #AZBalanced",304,2020-01-17 21:17:18,TweetDeck,104,47,dougducey,1218281161639612416,,20217019,False,https://t.co/bSRDBXGtXu,en,January,Q1,"['heres', 'fiscally', 'conservative', 'balanced', 'budget', 'makes', 'responsible', 'investments', 'priorities', 'education', 'public', 'safety', 'infrastructure', 'providing', 'tax', 'relief', 'veterans', 'ready', 'work', '#thearizonaway', '#azbalanced']"
