;#covid19;texas;texans;state;health;care;provide;testing;help;spread;star;lone;@texashhsc;response;local;together;#texasbizstrong;continue;services;@texasdshs;communities;information;@gsf_opentexas;@tdem;child;workers;may;resources;certain;phase;protocols;new;details;work;businesses;emergency;county;safely;continues;service;texan;additional;social;lives;covid19;support;funding;safe;economy;providing;activities;available;residents;access;frontline;across;distancing;public;working;teams;funds;safety;governments;federal;honor;pandemic;expand;found;officials;essential;temporarily;home;test;week;guidance;million;ensure;waiving;due;contain;nursing;counties;begin;polk;masks;military;students;plan;respond;stay;great;community;assistance;business;sites;job;announced;issued;ii;part
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;2;0;0;4;2;4;2;0;2;0;2;0;0;0;4;0;0;0;0;4;4;2;4;0;0;0;4;2;0;0;2;0;2;0;2;4;0;2;0;0;2;0;2;0;0;0;0;2;4;0;0;0;2;0;2;0;0;0;0
certain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;8;2;0;0;0;0;8;8;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;0;0
phase;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;6;0;0;0;4;0;0;0;2;0;0;2;0;8;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;10;0
protocols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;4;0;0;2;2;6;2;0;0;0;0;2;2;4;2;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0
details;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;4;2;0;0;2;0;0;4;2;0;0;0;4;0;2;0;0;2;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;4;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;0;0;0;0
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;2;2;0;0;0;0;0;2;2;2;2;0;2;0;0;4;2;2;2;0;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0
county;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;4;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;8;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0
safely;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;2;0;4;0;0;0;2;2;0
continues;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;6;0;0;0;0;0;0;0;0;0;0;2
service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;2;2;0;0;0;0;0;0;0
texan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;6;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;6
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;6;2;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;0;2;0;2;2;2;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;2;0;0;0;0;0;0;0;14;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;4;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;2;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;2;0;2;0;0;0;0;0;0;0;0
funding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;4;4;0;4;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;2;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0
providing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
activities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;6;0
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;6;2;0;2;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
frontline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;2;0;0
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;4;2;0
teams;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2
funds;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;2;0;0;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
governments;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0
honor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0
