kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
darker,1,ticket,2,@genlinkowski,4,tea,2,starting,2,support,1,ok,9
club,1,younger,2,eyes,4,5,2,days,2,nose,1,efforts,9
yall,1,american,2,ok,4,lovable,1,care,2,took,1,big,8
ask,1,video,2,journey,4,finale,1,purchase,2,answer,1,world,8
beat,1,fire,2,everyone,4,beginning,1,end,2,part,1,talent,8
good,1,looks,2,episode,4,u,1,@americanidol,2,babycat,1,light,8
heeling,1,wasnt,2,#makaylabrownlee,4,great,1,flower,2,#happybirthdaybreonna,1,link,8
india,1,times,2,week,4,window,1,1,2,rounds,1,talk,8
ready,1,garbage,2,stage,4,rendition,1,living,2,excited,1,eyes,8
comment,1,theres,2,else,4,winner,1,series,2,orlandobloom,1,still,8
fries,1,dads,2,yes,4,beginnings,1,sticks,2,inpull,1,looks,8
materials,1,needs,2,@ohjonnywest,4,picnic,1,questions,2,#blackouttuesday,1,home,8
con,1,thought,2,#neverwornwhite,4,night,1,television,2,loud,1,video,8
part,1,u,2,wanna,4,seeking,1,#shoesdaytuesday,2,policies,1,vote,8
humor,1,room,2,favorite,4,#toyourhealth,1,laugh,2,talented,1,2020,7
constant,1,@cynthialovelys,2,wow,3,run,1,human,2,rolling,1,seeing,7
hanging,1,talking,2,story,3,#roberttaylor,1,@discovery,2,bands,1,gonna,7
upcycle,1,oh,2,@oliviaximines_,3,maybe,1,thanks,2,partner,1,watch,7
flipping,1,thanks,2,agree,3,daughter,1,impacted,2,perfect,1,grandma,7
values,1,ladies,2,help,3,foreseeable,1,took,2,please,1,n,7
hibernating,1,new,2,#amberfiedler,3,round,1,room,2,register,1,mean,7
dialed,1,spa,2,prove,3,butter,1,mom,2,contributions,1,aka,7
till,1,god,2,aka,3,745p,1,away,2,privilege,1,journey,7
feb,1,west,2,tune,3,reveal,1,whats,2,utilize,1,little,7
@katyperrycollections,1,greatness,2,@abcnetwork,3,nashville@ryanseacrest,1,em,2,help,1,give,7
july,1,call,2,sing,3,pickup,1,start,2,told,1,items,7
gateway,1,golden,2,actually,3,means,1,middle,2,catch,1,wanna,7
finally,1,#kyletanguay,2,coast,3,#demirae,1,730p,2,america,1,wait,7
designers,1,working,2,soul,3,17,1,next,2,dreams,1,watching,7
rat,1,fact,2,hear,3,glampt,1,concert,2,mark,1,bio,7
continually,1,sing,2,@margiemaysmusic,3,@pink,1,believe,2,#democracysummer2020,1,2,7
jewel,1,#franciscomartin,2,@,3,words,1,sense,2,cancelled,1,@ryanseacrest,7
pyramids,1,trust,2,faith,3,easy,1,assist,2,katycats,1,continue,7
indian,1,best,2,@geenafontanella,3,@lovetinaturner,1,cover,2,satan,1,check,7
@americanidol,1,group,2,give,3,donating,1,performances,2,month,1,real,7
people,1,used,2,glad,3,voice,1,called,2,could,1,take,7
