;trump;president;great;united;states;new;people;house;american;news;state;world;man;government;court;white;obama;national;media;federal;bill;party;senate;big;country;working;job;department;republican;good;washington;administration;democrats;donald;thank;russia;best;law;york;police;campaign;think;supreme;fbi;fake;may;committee;presidential;left;2016;justice;post;thing;america;nothing;trying;care;another;democrat;million;women;security;act;history;proud;part;city;killed;looking;nation;following;called;americans;article;shooting;russian;men;bad;year;former;love;conference;john;election;win;game;released;possible;announce;citizens;thousands;nfl;reserve;intelligence;order;vote;north;military;second;signed
state;0;0;0;0;0;0;0;0;0;0;0;2;4;6;0;2;0;2;0;4;0;4;2;0;4;4;2;6;2;2;0;2;2;2;4;2;4;4;6;4;2;2;0;2;0;4;0;2;0;0;4;0;2;2;2;0;4;4;2;4;0;0;0;4;0;0;2;0;0;0;0;2;4;0;4;0;2;0;2;4;2;0;0;0;4;0;0;0;0;4;2;0;0;0;2;2;4;4;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;2;2;2;2;2;0;8;4;4;4;2;2;2;2;2;0;2;2;6;2;2;2;0;2;4;0;2;2;2;0;0;0;4;0;2;0;2;0;2;0;2;0;2;2;2;2;0;0;0;4;0;2;6;0;2;4;0;2;2;2;0;2;0;0;0;2;2;4;0;0;4;0;2;0;2;4;0;0;0;2;2;2;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;4;0;0;2;0;0;16;2;0;0;8;0;0;2;0;2;0;2;2;0;4;0;0;0;4;0;2;0;0;0;0;0;4;0;8;2;0;0;2;0;0;4;2;4;0;4;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;4;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;10;4;4;8;0;0;2;0;8;2;0;0;6;2;0;0;4;0;0;0;0;0;0;2;0;0;0;4;2;0;2;4;0;2;0;2;0;2;0;2;4;4;2;6;0;0;0;0;0;0;4;0;4;2;4;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;4;2;0;0;0;0;2;0;2;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;12;0;0;0;0;0;0;0;2;0;0;2;4;2;2;0;0;2;6;2;2;0;0;36;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;2;6;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;2;2;0;0;2;2;0;2;4;0;0;0;2;0;0;0;2;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;4;2;4;2;0;2;0;4;0;2;4;4;2;0;2;0;0;0;4;2;2;2;0;0;0;4;0;0;2;4;0;2;2;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;2;2;0;2;0;2;10;2;0;0;0;4;2;2;2;0;0;0;0;4;0;2;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;2;2;2;2;2;8;6;4;6;26;0;6;0;2;0;0;4;0;4;0;4;0;4;2;4;0;0;2;8;6;2;4;0;0;0;0;2;4;2;2;0;0;0;2;0;0;2;4;2;2;2;2;0;0;0;4;2;4;0;0;2;0;2;0;8;0;2;0;8;2;0;6;2;0;0;2;0;2
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;4;2;0;0;0;6;4;2;2;6;4;0;0;2;4;0;4;2;2;4;0;2;0;16;0;0;0;0;2;2;2;2;0;0;0;4;0;2;12;0;2;0;2;4;2;2;2;2;2;2;2;2;0;0;4;0;6;0;0;0;2;0;6;0;0;2;0;4;4;2;2;4;0;0;0;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;6;0;6;4;4;6;4;0;2;4;6;2;2;2;0;2;0;4;2;0;4;28;2;0;2;8;0;4;0;0;0;2;6;0;4;6;0;0;4;0;0;0;2;0;2;2;2;0;0;0;2;0;0;0;4;0;0;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;2;0;2;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;2;2;0;2;0;0;0;2;4;0;0;2;8;0;2;0;0;2;2;2;4;4;2;0;4;4;0;0;0;2;2;2;2;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;4;4;0;0;0;2;2;2;2;2;0;4;2;0;22;0;2;0;0;0;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2;0;2;0;0;0;2;2;0;4;0;0;2;2;6;0;0;0;0;0;0;2;4;0;2;0;2;0;2;2;0;0;2;0;2;2;0;2;0;6;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;8
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;10;0;0;20;0;0;6;6;2;0;6;0;0;2;2;4;0;0;2;4;0;0;0;6;2;0;2;4;0;0;4;2;2;16;0;2;0;0;2;2;0;0;0;2;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;2;0;2;6;2;4;6;2;0;0;0;6;2;0;0;0;4;16;2;4;8;0;0;2;0;0;2;2;4;4;2;0;2;2;0;0;0;0;0;2;0;0;0;2;2;0;6;0;2;0;0;2;0;2;4;2;0;2;6;0;0;0;0;0;10;0;8;0;0;2;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;6;0;0;2;0;4;0;0;2;0;2;2;2;0;2;4;0;2;0;2;0;2;0;2;4;4;6;0;2;4;0;0;2;0;2;4;2;0;0;6;0;0;2;0;0;2;0;0;0;2;2;0;4;0;2;4;2;2;0;2;0;0;0;0;0;0;0;0;2;2;4
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;4;6;2;0;4;2;4;2;0;4;4;0;4;0;0;0;0;2;6;0;0;2;0;2;4;0;0;0;0;2;0;0;4;2;0;0;0;2;2;2;2;2;0;0;2;2;2;0;0;2;0;0;6;0;0;0;4;0;2;0;0;0;0;0;4;0;2;4;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;2;0;2;0;2;4;6;0;2;2;0;4;2;0;2;4;0;0;0;0;0;2;0;2;0;0;2;2;0;6;0;2;4;0;0;0;0;4;0;0;2;2;2;0;0;2;2;0;4;0;2;2;2;0;0;4;0;0;2;2;2;2;0;2;0;0;0;0;2;2;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;6;0;4;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;4;0;2;4;2;0;0;0;0;0;2;2;2;2;0;0;0;2;0;2;4;4;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;2;2;2;2;0;2;2;0;2;8;2;2;2;0;0;0;20;2;2;0;4;0;4;2;0;0;0;4;0;0;0;0;2;0;4;0;0;2;0;2;2;0;0;2;0;2;0;0;0;2;4;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;4;0;0;2;0;4;0;6;0;0;0;4;0;6;6;0;4;0;0;4;0;2;4;2;0;6;0;0;0;0;4;0;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;2;4;0;0;2;0;2;0;2;2;0;0;0;4;2;2;2;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;4;2;0;0;2;0;0;0;4;4;4;0;0;0;0;0;4;0;0;2;2;0;2;2
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;2;4;0;4;0;0;2;2;2;0;2;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;0;0;2;6;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;4;0;4;2;4;0;2;0;6;0;0;2;4;2;0;0;0;0;0;0;2;0;4;6;2;0;0;0;0;2;2;0;2;2;0;2;0;0;4;4;0;2;0;0;0;0;0;0;6;4;0;0;8;0;0;2;0;0;2;2;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;4;6;0;0;4;0;2;4;6;0;2;0;10;0;2;4;6;2;10;8;0;2;8;0;0;2;0;4;0;2;0;0;2;2;2;0;0;4;2;2;0;2;0;2;0;0;0;2;4;0;0;2;0;0;0;0;0;0;2;6;0;0;0;2
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;4;2;2;2;4;0;4;8;4;4;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;4;0;0;2;0;2;0;0;0;0;4;4;0;2;4;0;0;0;0;0;0;2;0;2;0;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;4;0;2;0;2;4;2;0;2;0;0;2;0;0;0;0;2;2;0;0;0;6;2;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;16;2;0;8;4;4;4;4;0;6;2;0;0;0;2;2;0;2;4;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;2;2;0;0;6;2;0;0;10;0;0;2;0;0;4;0;0;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;2;0;0;2;0;0;4;0;2;0;2;0;4;4;0;0;2;0;0;0;0;0;0;2;0;6;4;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;8;2;0;2;0;0;2;2;2;4;0;0;0;4;2;0;0;0;2;0;4;6;2;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;4;0;4;0;2;4;0;0;0;0;0;0;2;0;2;0;0;0;0;8
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;2;0;4;0;6;0;4;0;0;0;0;0;0;2;0;0;0;2;4;0;2;8;0;0;0;0;0;2;0;0;0;0;2;2;4;2;0;0;2;4;0;0;0;0;0;0;0;2;0;0;2;0;0;2;4
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;10;4;0;0;0;0;0;6;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;8;6;0;10;2;0;0;0;2;2;0;0;4;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;8;2;0;2;8;0;0;0;0;0;6;0;0;0;0;0;0
think;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;0;8;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;4;0;2;0;2;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;4;12;2;0;0;2;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;2;2;0;0;4;0;0;8;8;2;0;0;8;0;0;0;0;0;2;0;0;0;0;2;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;2;2;0;0;0;8;0;4;6;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;2;0;0;6;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;2;0;0;2;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;8;0;2;0;2;0;0;0;4;0;0;6;4;2;0;4;0;0;16;0;0;0;0;2;0
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;0;6;4;0;0;0;0;0;0;0;0;2;4;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;8;0;2;2;0;0;0;0;12;0;2;4;6;0;0;0;2;0;10;0;2;0;0;0;2
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;0;2;0;0;0;0;2;0;0;2;2;2;0;0;2;0;0;2;0;0;2;4;0;0;0;2;4
post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;6;0;0;4;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;4;0;4;2;0;0;0;0
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;4;2;0;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;0;2
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;4;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2
nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;4;2;0;0;2;0;2;0;2;0;0;4;0;0;0;0
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;2;2;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0
another;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;4;2;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;2;2;0;2;0;2;0;2;2;0;0;0
democrat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
women;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;2;4;0;2;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;2;0;0;2
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;4
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;0
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0
