;great;trump;new;president;people;united;states;house;news;government;federal;state;national;american;white;working;administration;country;media;obama;democrats;left;proud;campaign;congress;man;big;york;senate;fake;republican;fbi;story;donald;best;history;party;world;americans;thank;washington;former;million;security;help;bill;election;presidential;support;may;win;clinton;law;city;court;killed;young;year;announce;deal;times;article;police;released;team;friday;report;job;think;night;trying;china;post;reserve;hillary;war;democratic;important;information;complete;committee;family;department;book;press;voted;hard;number;another;nations;transcript;strong;2016;life;love;republicans;saying;coming;radical;investigation
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;8;4;8;2;4;0;2;2;4;2;4;0;0;6;2;0;0;4;8;2;8;2;0;2;0;2;2;2;2;2;0;0;0;0;0;0;0;0;6;0;2;0;0;2;0;0;2;8;0;4;4;0;2;0;0;2;2;0;0;2;2;4;0;0;12;2;0;2;4;0;4;0;0;2;0;0;0;2;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;4;4;2;2;4;4;6;0;2;0;4;4;4;4;4;8;4;0;4;2;6;2;2;0;0;4;2;0;0;2;2;0;2;0;2;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;2;0;0;0;0;2;0;20;4;0;2;0;4;0;4;0;2;2;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;30;4;8;0;6;4;2;0;4;0;0;0;0;4;6;0;2;4;2;6;2;0;0;2;0;0;0;0;6;0;0;2;4;0;0;4;2;0;0;0;2;4;2;0;2;0;2;2;0;0;0;2;8;0;0;2;4;6;0;2;4;2;2;2;0;0;4;6;2;0;2;0;0;2;0;0;0;0;2;4;4
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;8;0;4;0;4;0;0;2;4;2;2;4;0;6;0;2;0;0;4;0;4;2;2;2;4;0;2;0;2;2;0;4;2;2;0;2;2;0;0;0;2;0;0;2;0;0;0;6;0;0;0;2;2;2;2;4;0;0;2;0;0;0;2;2;4;2;0;2;2;0;4;2;0;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;6;0;6;4;0;2;2;0;22;2;0;6;4;2;0;2;0;2;0;0;0;0;2;2;0;0;4;0;0;2;2;2;0;0;2;0;2;0;4;2;2;0;0;0;0;2;0;2;0;6;0;2;0;0;0;4;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;2;2;2;0;4;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;4;4;2;0;4;0;0;2;0;0;4;0;0;4;0;4;0;0;2;0;2;4;2;0;8;0;0;0;4;0;0;0;0;0;0;0;2;4;2;0;0;2;2;0;0;2;0;2;2;0;0;2;2;6;0;2;0;2;2;4;0;2;2;2;2;0;2;0;0;2;0;2;0;0;2;4;4
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;4;0;2;0;6;4;2;2;0;0;2;0;2;0;0;4;0;0;0;0;0;4;6;0;2;0;2;2;2;0;0;0;0;4;0;0;0;0;0;4;0;2;4;0;4;4;8;0;0;0;2;0;2;2;2;0;2;2;0;0;0;6;2;0;0;0;0;0;2;0;0;4;0;2;8;2
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;2;0;8;4;0;10;0;4;2;6;2;0;0;0;0;2;0;0;2;4;2;2;0;0;0;0;2;0;2;0;0;2;2;0;0;0;2;4;2;4;0;4;2;2;2;6;2;0;0;0;0;2;0;0;0;2;4;2;0;0;0;0;0;0;0;2;0;20;2
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;2;0;0;2;4;2;2;2;2;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;20;4;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;6;8;4;10;2;2;2;0;0;0;0;0;0;0;2;0;6;12;2;0;4;6;2;0;0;0;0;0;0;2;0;0;0;6;0;4;4;0;0;0;4;6;2;0;4;0;4;0;6;0;2;0;0;0;2;0;0;0;0;0;2;2;8;2;0;0;0;0;0;2
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;4;0;0;10;2;2;6;0;0;2;4;4;2;6;0;4;6;6;2;2;2;0;0;2;2;2;0;0;4;0;0;6;2;0;0;0;0;2;2;0;2;0;2;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;2;2;0;0;0;0;2;2;0;2;2;0;0;6
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;4;2;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;2;2;0;8;2;0;0;0;0;8;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;4;0;0;0;0;0;2;2;2;0;0;0;2;2;4;0;6;0;0;0;0;0;2;0;2;6;0;0;0;2;4;0;0;4;0;0;0;4;2;0;2;0;2;0;0;6;0;0;0;0;0;0;2;0;4;0;0;0;0;2;2;0;0;2;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;4;0;2;0;2;2;0;0;2;4;4;0;4;2;2;0;4;2;0;0;6;0;0;2;0;0;2;22;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;4;0;0;4;2;2;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;2;4;2;0;0;0;0;10;6;0;0;2;0;0;2;0;0;0;0;2;2;0;2;0;0;4;2;2;4;0;0;0;4;0;0;0;0;0;0;2;4;2;10;0;2;2;0;6;2;0;2;0;2;2;2;0;0;6;2;0;0;2
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;8;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;2;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;6;0;4;4;0;4;0;0;2;0;0;10;2;0;4;0;0;2;2;2;2;2;2;0;0;0;2;2;2;2;0;2;0;0;2;0;0;0;0;0;6;2;2;0;4;0;0;2;0;2;0;0;2;0;0;2;2;0;2;2;2;0;2;2
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;14;0;8;2;0;8;4;0;6;2;4;0;2;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;4;0;0;0;6;0;0;0;0;0;2;2;0;2;0;0;4;0;8;0;0;2;0;0;0;10
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;2;2;0;0;2;2;0;0;2;0;6;0;0;0;0;2;0;8;2;0;0;6;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;2;0;2;0;6;0;0;0;0;0;4;0;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;2;6;2;4;0;2;2;8;0;2;2;0;0;0;0;0;0;2;0;4;2;2;0;0;0;2;0;0;0;2;0;2;2;2;0;0;4;0;2;4;2;0;0;2;4;0;2;4;0;2;2;0;0;0;0;0;2;0;0;4
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;0;0;0;0;0;0;2;6;0;0;0;2;0;4;0;0;0;0;2;0;6;0;0;0;0;2;0;2;4;2;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;0;0;0;2;0;4;2;2;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;2;2;0;0;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;12;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;2;8;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;10;0;0;0;0;0;0;0;2;4;0;4;0;2;0;2;2;0;0;0;0;0;0;2;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;2;0;4;2;2;2;2;0;0;2;6;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;2;0;4;0;2;0;4;0;2;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;0;0;4;0;0;0;4;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;4;2;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;2;0;0;2;2;0;0;0;2;0;0;2;0;2;2;2;0;0;0;0;4;0;0;0;2;2;0;0;0;0;2;0;2;2;0;2;2;0;0;2;0;0;0;2;2;0;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;2;4;0;6;0;2;2;0;0;0;2;4;0;2;0;4;0;2;0;0;0;0;0;0;0;0;8;0;2;2;0;0;2;0;2;0;0;2;0;2;0;0;0;2;2;0;2;0;2;0;0;4
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;2;0;2;2;2;2;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;6;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;4;2;0;0;0;4;2;2;0;0;0;2;0;0;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;4;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;2;0;0;0;0;2;2;0;0;0;0;6;0;2;0;6;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;0;0;0;2;4;0;0;0;2;2;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;2;0;0;0;2;0;2;0;2;2;0;0;2;0;2;4;0;2;0;4;0;0;2;2;0;2;2;4;0;6;0;0;2;0;0;0;0;0;2;0;0;14;4;0;2;0;2;0;4
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;8;0;2;0;4;0;0;0;0;2;0;0;0;2;0;0;10;0;0;0;0;0;0;4
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;18;2;0;0;2;0;0;0;0;2
win;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;4;0;0;2;0;0;0;4;4;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0
clinton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;0;4;0;2;0;4;2;0;0;24;2;6;0;0;0;6;2;6;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;2;2;2;0;2;0;0;4;0;4;0;2;0;0;0;0;2;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
killed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;6;4;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
young;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;0;4;0;0;2;0;2;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
announce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
deal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;2;0;2;0;2;0;0;2;0;0;2;0;2;0;0;0;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
released;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;2;0;0;4;0;0;0;2;0;2;0;4;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0
team;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2
friday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2
