;states;united;trump;president;great;people;new;house;government;national;american;federal;world;news;working;white;obama;administration;country;man;best;thank;state;big;department;republican;announce;americans;job;help;article;washington;committee;democrats;york;law;donald;love;russia;america;senator;campaign;party;2016;presidential;city;economy;court;media;congress;may;election;senate;post;million;security;china;fbi;bernie;justice;hard;deal;called;take;work;police;proud;good;supreme;usa;history;important;war;latest;left;former;fake;strong;sanders;military;real;support;health;massive;russian;press;year;story;family;amazing;money;coming;thing;10;illegal;democrat;border;book;candidate;times
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;4;0;6;4;0;0;0;0;2;6;4;2;6;0;0;4;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;2;0;2;0;2;0;2;4;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;2;4;4;0;2;0;0;2;2;4;0;0;0;0;0;0;0;0;2;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;8;6;2;0;0;4;2;2;8;2;6;0;0;0;4;0;4;2;0;2;2;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;2;0;0;2;2;0;4;0;0;2;0;0;0;0;4;0;0;0;2
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;4;0;0;0;0;2;2;0;0;2;0;2;0;0;2;4;2;0;0;0;0;0;0;0;2;0;0;0;0;8;2;0;0;0;2;0;0;0;0;0;6;0;0;2;0;2;4;0;0
senator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;6;2;0;2;0;2;0;0;0;4;0;0;0;2;0;2;0;0;0;4;6;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;4;0;4;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;2;0;0;4;2;2;8;0;0;4;2;0;4;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;8;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;8;2;0;0;6;2
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;4;0;0;2;2;2;0;2;4;2;2;4;0;2;0;0;0;2;0;2;2;0;2;0;0;2;4;0;4;2;0;0;0;0;0;0;0;0;4;0;2;0;2;2;2;0;6;0;0;2;2
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;2;16;8;2;0;0;2;6;0;4;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;10;0;0;2;0;0;0;0;0;2;4;0;0;0;2;2
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;10;6;2;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;4;4;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;10;4
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;0;0;2;2;0;0;2;0;0;8;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2;2;2;0;4;0;0;0;0;0;0;0;2;4
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;2;0;2;2;0;2;0;2
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;28;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;16;0;0;0;0;0;0;4;0;2;2;0;2;0;0;2;2;2;6;4;0;0;2;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;2;0;0;4;0;4;0;0;0;2;0;0;0;0;0;2;2;0;2;2;2;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;6;2;0;2;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;2;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;4;0;8;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;0;2;0;0;2;0;0;2;0;2
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;2;0;0;0;4;2;2;2;4;0;2;0;2;0;2;0;0;0;0;0;0;8;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2
post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;0;2;0;4;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;4;6;0;0;0;4;0;0;0;4;0;0;4;4;0;2;0;0;0
