kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
clear,10,million,13,everyone,12,fight,12,de,9,isnt,9,action,51
united,9,across,13,work,12,still,12,tune,9,clear,9,beat,51
safe,9,support,12,working,11,climate,11,life,9,progress,9,middle,50
jill,9,confirm,12,support,11,lives,11,full,9,testing,8,stand,50
theres,9,battle,12,tuesday,11,power,11,transform,9,reform,8,support,50
support,9,theres,12,forward,11,future,11,family,9,across,8,coronavirus,48
comes,9,plan,12,across,11,testing,11,hard,9,believe,8,big,48
beat,9,bring,11,fight,11,house,10,theres,9,million,8,protect,48
restore,8,voters,11,pandemic,11,everyone,10,live,9,safe,8,away,47
making,8,trumps,11,new,11,ive,10,economy,9,ive,8,moment,46
deal,8,away,11,stop,11,watch,10,future,9,everyone,8,families,46
november,8,everyone,11,covid19,11,ensure,10,cannot,9,tune,8,live,46
lives,8,obamacare,11,meet,10,equipment,9,@drbiden,8,soul,8,times,46
ballot,8,heard,11,stand,10,defeat,9,front,8,folks,8,promise,45
americans,8,primary,11,without,10,white,9,support,8,four,7,climate,45
stand,8,work,11,protect,10,million,9,across,8,step,7,lets,45
protect,8,difference,11,promise,10,protective,9,wealthy,8,virus,7,theres,45
security,8,momentum,11,relief,10,clear,9,million,8,election,7,chip,44
middle,8,location,11,soul,10,change,9,work,8,days,7,future,44
grateful,7,voice,11,administration,10,middle,9,pay,8,hate,7,deserve,44
commander,7,ban,11,could,10,jill,9,act,8,change,7,could,43
de,7,fight,11,clear,10,act,9,class,8,finally,7,public,43
big,7,stand,11,economic,10,stronger,9,obligation,7,world,7,economic,43
ready,7,best,10,join,9,episode,9,national,7,economic,7,pandemic,43
character,7,middle,10,momentum,9,weeks,9,action,7,lets,7,hard,43
chief,7,makes,10,provide,9,full,9,stronger,7,power,7,act,42
gun,7,live,10,lets,9,relief,9,safe,7,economy,7,days,42
fair,7,calls,10,plan,9,threat,9,months,7,democracy,7,lead,42
violence,7,build,10,senator,9,global,9,join,7,access,7,leadership,42
away,7,deserve,10,decisive,9,combat,9,community,7,single,7,head,42
moment,7,epidemic,10,stage,9,paying,9,trying,7,communities,7,million,42
troops,6,election,10,hes,9,millions,9,please,7,forget,6,give,41
without,6,lot,10,thing,9,safe,8,thank,7,hes,6,safe,41
build,6,place,10,tonight,9,family,8,relief,7,price,6,life,39
close,6,life,10,lead,9,administration,8,free,7,fighting,6,job,39
hes,6,manufacturers,9,trumps,9,deserve,8,families,7,failed,6,front,39
election,6,stake,9,gun,9,hard,8,worst,7,whats,6,watch,39
action,6,protect,9,future,8,job,8,tough,7,stop,6,response,38
students,6,clear,9,super,8,beat,8,step,7,crisis,6,win,38
life,6,class,9,put,8,enough,8,unemployment,7,next,6,change,38
future,6,state,9,overcome,8,failed,7,presidents,7,effective,6,power,37
oneterm,6,talk,9,needs,8,deal,7,new,7,greatest,6,single,37
iranian,6,night,9,proud,8,home,7,leadership,7,racial,6,hope,37
next,6,pass,9,end,8,joined,7,states,6,lgbtq,6,economy,36
important,6,weapons,9,use,8,community,7,share,6,union,6,proud,36
single,6,states,8,front,8,price,7,global,6,nothing,6,violence,36
moral,6,climate,8,change,8,leadership,7,la,6,administration,6,pay,35
rights,6,taking,8,security,8,facing,7,end,6,battle,6,needs,35
thing,6,economy,8,build,8,#soulsaturday,7,give,6,police,6,still,35
rico,5,bill,8,building,8,possible,7,justice,6,cannot,6,plan,35
billion,5,world,8,give,8,defeated,7,businesses,6,house,6,build,35
share,5,reform,8,bernie,8,heroes,7,government,6,still,6,hes,35
dignity,5,comes,8,real,8,response,7,stand,6,could,6,join,34
strategy,5,id,8,action,8,special,7,lost,6,act,6,working,34
proud,5,ensure,8,restore,8,unemployment,7,heres,6,root,6,failed,34
threat,5,starts,8,national,8,tests,7,strategy,6,community,6,full,34
across,5,give,7,state,7,transform,7,plan,6,defeat,5,battle,34
stronger,5,line,7,hope,7,great,7,los,6,reopening,5,defeat,33
ban,5,proud,7,pay,7,heres,7,pain,6,turn,5,testing,33
