;great;thank;people;news;fake;big;democrats;president;job;country;complete;trump;states;military;endorsement;house;@foxnews;joe;strong;new;state;good;american;media;china;america;coronavirus;mike;democrat;vets;history;republican;impeachment;left;win;united;white;hoax;party;working;vote;amendment;border;hard;work;help;federal;world;radical;congress;usa;bernie;nothing;dems;bad;second;national;crime;do_nothing;sleepy;mini;congressman;crazy;corrupt;#maga;election;russia;incredible;biden;order;night;law;money;jobs;numbers;love;testing;new_york;best;senate;senator;together;lamestream;totally;police;republicans;john;governor;court;important;political;loves;tonight;conference;government;administration;wrong;ventilators;congratulations;@foxandfriends
do_nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;10;4;0;8;6;2;6;4;0;4;2;4;2;0;2;0;0;14;2;6;18;8;2;6;2;0;4;2;4;2;4;0;0;2;16;2;0;2
sleepy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;14;4;0;6;2;0;48;12;2;10;4;2;2;4;0;0;2;0;2;2;2;4;8;2;0;2;0;2;0;0;0;0;0;4;6;0;2;0
mini;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;4;0;0;6;0;14;0;18;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;6;0;4;0;0;0;2;0;2;0
congressman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;4;0;32;0;0;0;8;0;4;0;0;0;8;2;0;2;0;0;0;2;0;6;0;0;2;2;22;0;0;0;0;0;0;4;0
crazy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;12;8;0;10;4;4;2;8;4;2;0;4;2;2;4;4;0;6;6;6;2;0;0;0;2;4;0;4;0;0;0;0;2;2;2
corrupt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;10;0;14;10;6;2;0;2;6;0;0;2;0;4;0;0;20;16;0;0;0;0;2;2;2;0;0;2;0;12;4;0;0;4
#maga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12;0;2;2;4;0;2;0;6;0;2;2;0;4;0;0;0;2;2;4;4;0;0;2;20;2;0;0;0;0;0;8;2
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;2;2;0;8;0;0;2;2;4;2;2;2;0;2;2;0;4;4;2;4;2;0;0;0;0;4;0;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;0;4;0;0;0;0;0;2;0;2;2;6;2;4;0;0;2;2;4;0;4;0;0;6;4;0;0;2
incredible;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;4;4;6;0;0;0;0;6;0;0;0;0;2;4;2;0;2;4;16;4;2;0;0;2;0;2;0
