;#togetheral;#covid19;#alpolitics;alabamians;al;health;alabama;state;@alpublichealth;thank;people;order;help;visit;great;continue;#askgovivey;care;#stayathome;april;fellow;#ribbonsofhope;support;working;new;crisis;across;learn;@yext;economy;federal;safe;weather;businesses;harris;spread;work;dr;testing;live;resources;taking;program;assistance;important;hope;als;provide;task;social;distancing;team;home;resource;appreciate;take;press;force;members;emergency;efforts;pandemic;please;questions;friends;good;economic;business;stay;coronavirus;committee;hosting;hand;use;still;ppe;remember;partnership;find;watch;tool;local;folks;morning;response;encourage;news;@madeinal;#althanksyou;severe;options;claims;life;wellbeing;practice;responders;30;participate;face;governors
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;4;0;2;2;2;0;0;0;0;0;2;0;0;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;4;2;0;0;2;0;4;2;0;0;0;2;0;0;2;0;2;0;2;0;0;4;0;0;2;0;0;2;0;0;0;0;2;0;0;4;0;0;0;2;4;0;0;0;0;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;2;0;0;4;0;8;0;2;0;0;2;0;0;2;2;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;2;0;2;2;0;2;4;0;2;2;2;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;2;4;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;4;0;2;2;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;4;2;2;2;4;0;0;0;0;0;0;0;0;2;4
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;4;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2
@yext;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;0;2;0;0;2;0;0;2;2;0;0;0;2;0;6;4;0;0;0;0;0;0;0;2;6;2;0;0;0;0;0;0;0;0;2;0;0;0;4;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;2;0;6;2;2;0;0;0;0;2;0;6;2;0;2;0;0;0;0;2;0;0;0;6;6;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;4;0;2;2;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;2;2;0;0;0;0;2;2;0;2;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0
weather;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;2;2;0;0;10;0;0;2;0;0;0;0;0;2;2
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
harris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;14;0;8;0;0;0;0;2;0;0;6;2;0;0;2;0;0;0;2;8;2;2;0;6;0;0;0;0;2;0;0;0;2;4;6;0;0;0;0;0;0;0;8;0;4;0;2;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;2;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
