;city;health;covid19;toronto;food;public;care;home;stay;community;work;support;staff;continue;together;pandemic;working;services;new;vulnerable;access;residents;housing;information;physical;take;protect;workers;distancing;shelter;call;response;recovery;part;system;people;help;safe;spread;service;211;free;homelessness;supports;data;mental;week;measures;cities;province;lives;social;essential;247;please;ontario;shelters;virus;possible;everyone;@topublichealth;provide;difficult;ensure;medical;units;local;still;government;frontline;important;visit;citys;emergency;crisis;times;provincial;online;follow;best;save;directly;program;hard;thanks;available;officer;testing;place;across;weeks;grocery;tips;clients;live;hotel;staying;centre;past;homes
work;0;0;0;0;0;0;0;0;0;0;0;10;20;22;16;10;10;6;8;12;12;4;10;12;2;4;10;2;2;10;2;20;6;10;8;6;4;6;8;4;2;6;6;6;2;2;2;6;0;0;0;2;2;4;2;2;6;6;0;8;0;4;0;10;2;4;4;10;4;0;2;2;4;6;0;0;2;4;2;2;0;4;4;10;10;6;2;0;0;4;8;2;0;6;2;10;6;0;2;0
support;0;0;0;0;0;0;0;0;0;0;0;0;4;16;4;6;6;20;4;2;18;8;4;10;2;6;0;4;2;6;18;2;4;2;2;2;10;2;0;8;16;8;2;8;2;18;2;2;2;4;2;10;2;12;0;2;2;0;2;4;4;6;16;8;2;0;8;2;0;2;6;8;6;2;2;10;2;8;2;2;0;6;6;0;2;6;0;2;0;2;2;4;4;4;8;6;2;6;2;0
staff;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;12;20;4;10;10;4;8;6;6;2;2;14;6;2;20;2;6;4;4;10;6;6;16;4;6;0;2;6;2;6;0;2;2;0;4;0;4;2;0;0;10;12;2;4;0;4;4;0;6;4;4;4;4;8;8;0;0;2;6;4;0;4;0;0;4;0;2;2;8;6;4;2;4;4;2;4;4;0;6;0;8;2;2;0;2
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;8;2;4;12;10;4;4;4;4;12;12;6;4;6;4;4;6;8;6;4;2;6;2;0;2;2;6;6;4;6;2;4;0;0;6;0;0;2;4;6;4;0;2;14;2;6;8;14;2;2;4;8;4;4;2;2;0;2;2;6;2;2;2;2;4;6;4;4;2;2;2;0;4;4;8;2;2;2;0;4;0;0;8;4
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;2;0;10;0;0;2;2;8;10;8;0;8;0;2;4;0;14;2;2;4;4;14;0;4;0;0;2;0;0;10;4;0;0;12;2;2;4;6;0;2;14;0;4;0;2;4;0;0;0;0;6;4;0;2;2;2;0;0;8;0;4;2;0;14;0;0;4;4;4;0;2;0;0;4;6;0;0;2;0;0;0;6;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;14;12;6;12;10;6;2;4;8;2;2;2;0;8;8;4;8;6;4;4;0;2;0;4;2;2;14;4;2;0;8;4;4;0;0;2;0;8;6;2;4;2;0;4;0;2;0;2;2;2;6;0;0;0;2;2;2;0;2;2;0;0;0;0;2;0;0;2;0;4;2;0;2;0;0;2;2;2;0;0;2;4
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;10;10;4;4;4;8;2;16;8;8;10;2;4;6;10;2;14;4;10;12;0;0;2;8;2;4;0;6;8;0;4;0;0;6;4;6;2;10;10;4;10;2;4;4;12;6;4;2;4;4;10;0;0;8;4;0;6;2;0;0;2;0;2;8;12;4;6;0;4;6;2;0;8;0;6;2;8;4;4;4;4
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;8;16;2;22;4;2;2;0;4;0;22;2;14;2;4;2;4;2;0;16;24;4;2;16;4;8;2;4;4;8;0;24;0;24;6;4;0;2;4;4;0;2;8;2;2;2;2;2;2;0;6;16;4;2;0;0;0;4;0;2;0;2;4;0;0;8;0;0;0;4;0;4;0;2;0;2;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;6;12;6;8;4;4;2;6;10;0;6;8;0;8;4;4;0;4;0;0;6;10;0;6;0;4;4;16;0;0;0;0;0;0;2;2;2;2;0;0;6;0;2;4;10;4;2;4;0;2;2;6;0;4;0;4;0;0;2;0;2;2;0;0;2;4;0;2;0;0;0;0;4;4;2;0;2;0;2
vulnerable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;6;2;0;4;32;6;0;8;0;12;6;12;8;8;4;6;0;2;0;4;8;0;6;2;0;4;0;0;0;0;2;0;2;0;12;6;4;4;2;0;0;4;0;2;2;2;6;4;4;0;6;0;2;0;2;4;0;0;0;4;0;0;2;0;0;2;0;4;0;2;0;4;0;6;4;0;2;10
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;6;0;2;0;0;0;6;12;2;0;0;0;8;4;4;0;2;8;12;2;12;2;10;2;0;0;0;0;0;0;2;0;2;6;0;6;16;0;6;12;12;0;0;0;4;0;0;4;6;4;0;0;6;0;2;0;0;0;0;6;2;2;2;0;0;0;2;0;2;0;2;0;4;2;4;2;4
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;18;0;2;4;4;0;4;18;4;0;0;0;6;8;8;2;22;18;14;6;18;4;10;4;0;2;4;0;10;2;10;6;2;12;0;2;0;0;2;2;2;0;0;2;2;2;4;4;10;2;2;0;2;0;4;0;6;0;6;6;4;0;6;0;0;0;2;8;0;0;0;0;2;2;0;0;12
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;6;0;4;4;2;4;4;0;6;0;0;0;2;20;2;0;2;2;0;2;2;0;0;0;2;0;0;8;0;2;0;0;6;0;2;0;16;0;0;6;2;2;0;0;2;8;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;6;0;10;0;0;0;2
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;4;26;2;2;0;6;8;2;0;2;10;24;0;4;12;6;0;0;0;0;2;0;18;0;18;10;4;2;2;4;0;0;4;8;0;0;0;2;2;4;2;4;12;0;2;0;0;4;8;0;4;0;10;6;0;2;10;0;0;2;2;2;0;0;0;0;0;2;0;0;2
physical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;54;6;0;6;2;14;8;4;0;4;18;0;0;2;0;0;2;0;8;10;0;0;6;0;0;0;16;6;4;8;6;2;12;0;2;2;8;2;0;2;0;2;0;2;0;0;4;12;4;0;12;2;2;2;0;0;6;0;8;0;4;0;2;10;12;4;2;2;4;0;2;4
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;6;2;4;4;4;4;0;2;2;2;4;2;4;8;0;0;0;2;6;2;4;2;2;0;8;6;2;8;0;6;4;4;2;4;0;0;0;0;2;6;2;8;6;0;0;6;0;0;4;2;2;0;0;2;0;4;4;0;0;0;6;0;2;4;2;0;0;0;0;0;2;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;8;0;2;2;16;6;6;6;8;0;0;0;0;6;0;2;0;0;6;0;0;2;0;6;0;4;0;8;4;4;4;6;4;0;4;0;2;2;2;6;10;2;0;2;0;4;0;0;0;4;2;0;0;0;4;2;2;0;0;2;4;0;2;2;6;0;6;8;0;0;6
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;8;2;2;6;10;0;4;2;12;2;4;0;4;6;0;2;2;2;0;16;8;0;0;4;0;2;0;2;2;0;0;0;2;2;0;0;24;0;0;0;8;4;2;0;0;0;0;0;0;0;6;2;0;0;0;0;2;2;4;0;2;0;4;6;2;0;4
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;2;14;8;4;0;4;16;0;0;2;0;0;2;0;8;8;0;0;6;0;0;0;16;6;4;8;6;2;12;0;2;2;6;2;0;2;0;2;0;2;0;0;4;12;4;0;12;2;2;2;0;0;6;0;6;0;4;0;2;10;12;4;2;2;4;0;2;4
shelter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;14;10;2;6;2;6;0;2;6;2;0;0;0;2;0;4;0;0;0;2;2;0;6;4;0;0;2;4;0;2;6;4;0;2;2;4;0;0;10;2;4;0;6;0;0;2;0;2;0;4;2;2;4;6;2;0;2;2;0;10;0;12;0;4;0;2
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;18;40;8;0;14;0;10;2;0;0;0;0;18;2;20;6;0;0;0;2;4;2;6;8;4;0;0;2;2;0;2;6;18;2;2;0;2;0;4;2;4;0;6;4;2;2;4;0;0;0;2;2;0;2;0;0;0;0;0;2;2
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;2;2;0;2;2;0;4;4;4;4;2;4;0;0;4;2;0;2;2;0;4;2;2;0;2;2;4;0;2;2;6;0;2;4;0;2;0;6;2;0;0;6;4;0;4;2;4;2;2;8;0;2;4;4;0;2;2;0;4;2;6;0;0;0;0
recovery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;2;2;0;0;0;0;6;4;0;0;2;2;10;2;0;2;0;4;0;0;2;6;2;0;0;0;0;0;6;0;2;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;8;6;10;2;0;0;2;0;0;0;8;2;0;0;6;0;8;0;8;0;0;8;4;2;6;0;0;2;2;0;2;0;0;6;0;0;0;0;2;10;0;0;4;2;4;0;0;4;2;0;2;0;0;2;2;10;4;0;2;2;6;0;2;2
system;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;0;0;2;0;8;0;0;2;0;0;2;2;4;0;2;8;2;2;2;0;0;0;0;2;2;4;0;2;6;2;2;2;2;0;6;0;2;0;0;2;0;2;0;0;2;0;2;2;2;0;0;0;0;4;0;6;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;2;2;0;14;2;4;0;0;0;0;2;2;0;0;2;0;2;8;6;4;0;0;2;2;0;2;6;0;0;2;2;6;2;2;0;0;2;0;2;0;0;0;0;0;2;0;4;0;0;0;6;0;0;0;6;0;10;2;4;0;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;2;0;2;0;2;0;0;2;4;4;0;4;2;0;0;2;4;0;0;0;0;0;0;2;0;8;0;2;6;0;0;2;2;0;2;0;14;0;0;4;4;0;4;0;2;2;0;0;0;0;0;0;0;6;0;4;0;2;2
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;0;0;2;6;0;2;4;0;2;0;0;0;6;2;2;2;4;0;2;6;0;2;2;2;2;8;2;0;2;4;4;0;0;0;4;2;4;0;2;6;4;0;0;0;2;2;2;2;0;4;0;6;4;2;0;2
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;8;0;0;6;0;0;0;6;0;4;16;0;2;2;0;0;0;6;0;0;2;0;0;0;0;0;0;0;8;0;0;2;2;6;2;0;4;0;0;6;0;2;0;0;4;2;0;0;0;4;0;8;2
service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;0;14;2;10;2;0;0;0;0;12;4;10;6;0;2;0;0;0;0;0;0;0;0;0;2;2;0;6;2;12;2;8;0;2;0;2;0;4;0;4;0;2;2;2;0;0;0;2;6;0;0;0;0;4;0;2;0;2
211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;16;0;10;0;0;0;0;0;20;2;22;6;0;0;0;2;2;2;6;8;2;0;0;2;2;0;2;6;20;2;2;0;0;0;4;2;4;0;6;2;0;0;6;0;0;0;2;2;0;2;0;0;0;0;0;0;0
free;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;8;8;2;0;0;0;2;8;8;0;0;4;0;0;2;0;4;0;6;0;2;0;0;0;8;2;2;4;6;2;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;4;0;0;2;0;2;0;0;2;4
homelessness;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;0;0;6;2;2;0;0;8;0;0;2;6;0;2;6;2;4;0;2;0;8;0;2;0;0;0;0;0;2;0;0;2;0;2;0;6;0;0;0;2;0;4;2;2;0;4
supports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;2;2;0;12;2;18;6;0;4;2;6;6;0;0;6;6;2;2;0;2;2;2;0;12;2;2;0;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;2;0;2;0;2;0;0
data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;4;4;2;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;4
mental;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;0;0;2;0;2;6;4;0;6;6;0;2;0;0;0;2;4;4;2;4;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;2;0;0;0;0
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;2;8;2;0;8;4;2;4;2;0;2;2;0;0;0;0;2;2;0;0;6;0;8;0;0;4;0;2;0;2;4;2;0;2;0;2;4;0;10;4;0;0;0;0;2;2;0
measures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;4;6;0;6;2;2;4;2;0;2;10;0;0;6;2;0;2;0;0;0;4;0;0;0;4;2;4;0;0;0;2;0;10;2;10;0;2;2;4;0;0;0;8;0;0;0
cities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
province;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;8;2;0;0;0;0;0;0;0;2;2;0;0;8;0;0;2;2;2;4;0;4;2;0;2;2;0;2;2;0;2;0;8;0;0;0;0;0;4;0;4;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;2;0;2;0;2;0;4;0;0;2;4;2;2;0;2;0;6;0;0;0;2;2;24;0;0;2;0;0;4;0;2;0;4;0;2;0;0;0;0;0;4;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;6;2;2;0;0;0;0;2;8;0;2;0;2;2;0;2;0;12;0;2;4;0;0;0;0;0;0;2;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0
essential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;12;2;0;2;6;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;2;4;0;0;2;0;6;0;0;0
247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;2;2;0;2;8;0;4;2;0;2;0;4;0;12;2;4;0;2;0;2;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;4;0;4;0;2;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;8;4;12;0;0;0;6;0;0;0;2;0;0;6;2;0;0;8;2;0;14;4;0;4;0;0;2;0;6;2;0;0;0;8;14;0;0;0;4;0;0;0
ontario;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;6;0;0;4;0;4;2;0;6;2;0;2;0;0;0;2;6;2;2;2;12;0;0;0;0;0;0;0;0;0;0;2
shelters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;6;0;0;0;6;2;0;2;4;0;0;4;0;0;0;0;2;0;2;0;0;0;6;0;2;0;0;0;8;0;10;2;0;0;14
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;4;0;2;2;0;0;2;0;4;0;0;6;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;4;2;0;0
possible;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;2;4;0;2;2;0;2;2;0;2;0;0;4;0;2;6;2;0;0;0;0;0;0;4;0;2;0;2;4;6;0;2;2;0;0;0;2
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;10;2;0;0;8;0;0;0;0;0;0;0;4;0;0;2;2;0;0;2;4;2;4;2;0;0;0;4;0;2;0;0;0;0;0;2;0
@topublichealth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;0;0;2;0;0;2;0;0;2;0;6;0;0;22;6;0;0;0;0;0;0;6;0;0;2;0;4;22;0;0;0;6;0;0;2
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;2;0;2;6;6;0;2;6;0;0;2;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;4;0;0
difficult;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;2;0;0;6;0;0;4;0;4;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;2
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;2;0;6;2;0;0;0;0;0;0;2;4;2;0;0;4;0;0;0;0;2;2;2;0;0;2;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;6;0;2;0;2;0;0;0;24;0;4;0;0;0;6;4;0;2;6;4;0;0
units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;8;0;8;0;0;0;0
