kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
et,4,ongoing,4,mark,4,proper,3,bring,3,todays,4,honor,17,needs,9,state,9,honor,17
fight,4,justice,4,strong,4,making,3,loved,3,presidents,4,congressional,17,preexisting,9,racial,9,congressional,17
puerto,4,important,4,equipment,4,needed,3,dangerous,3,killed,4,history,17,family,9,economic,9,history,17
communities,4,achieve,4,affordable,4,congressional,3,men,3,confront,4,economic,17,cannot,9,efforts,9,economic,17
away,4,call,4,prioritize,4,responsibility,3,economic,3,bold,4,mark,16,join,9,science,9,mark,16
democratic,4,history,4,continues,4,facts,3,clear,3,americas,4,funding,16,lives,9,bipartisan,9,funding,16
military,4,ones,4,third,4,#amjoy,3,duty,3,men,4,without,16,court,9,fighting,9,without,16
#worldholocaustforum,4,working,4,following,3,key,3,leadership,3,admins,4,package,16,free,9,historic,8,package,16
holocaust,4,#endgunviolence,4,takes,3,used,3,immediately,3,response,4,efforts,16,new,9,secure,8,efforts,16
government,4,equal,4,spread,3,senate,3,2020,3,care,4,commitment,16,without,9,lost,8,commitment,16
year,4,#lowerdrugcosts,4,state,3,legislation,3,report,3,passed,4,@senschumer,15,fighting,9,death,8,@senschumer,15
response,4,crisis,4,@senschumer,3,@thisweekabc,3,save,3,crisis,4,republicans,15,democratic,9,real,8,republicans,15
housepassed,3,de,4,millions,3,stop,3,home,3,confederacy,3,committed,15,managers,9,1045,8,committed,15
