;new;mexico;#nmleg;#nmgov;state;mexicans;legislation;senate;approved;committee;across;hb;sb;house;costs;bipartisan;creating;families;fund;childhood;health;education;support;law;heads;passed;care;public;tool;insulin;floor;early;stay;#sb5;#erpo;scholarship;unanimously;please;prescription;trust;clear;safety;violence;higher;proud;gun;access;protection;children;ensuring;making;mexicos;veterans;safe;100;critical;services;year;legislature;diabetes;opportunity;country;enforcement;drugs;extremerisk;states;funding;incredible;join;economic;lives;act;orders;expand;signed;benefits;reduce;military;final;forward;additional;reducing;jobs;#hb292;economy;tax;tuition;insurance;finance;news;congratulations;292;communities;ensure;canada;risk;order;suicide;kids;work
floor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;0;6;2;2;0;2;0;0;2;2;2;0;4;0;2;0;0;0;2;0;0;0;4;2;0;2;4;2;0;0;0;0;2;2;0;2;0;0;0;2;0;6;0;2;4;0;4;2;2;0;0;10;0;0;4;0;0;4;0;0;0;2;0
early;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;12;6;0;0;0;2;0;0;0;4;2;0;0;0;0;0;4;0;2;0;0;2;2;0;0;0;0;4;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
#sb5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;4;6;8;2;0;8;0;12;0;0;0;0;0;2;0;2;0;0;2;0;0;4;8;0;8;4;0;0;0;0;8;2;10;0;2;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;8;4;6;0;2
#erpo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;8;0;12;0;0;0;0;0;0;0;2;0;0;0;0;0;2;6;0;10;2;0;0;0;0;6;2;8;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;6;8;0;0
scholarship;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;8;0;0;2;0;2;0;0;6;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
unanimously;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;2;2;0;0;0;6;0;2;0;0;0;2;0;0;0;0;0;0;2;2;2;2;0;2;0;2;0;0;0;0;2;2;0;2;0;2;6;0;0;0;2;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0
prescription;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;10;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;2;0;2;0;0;0;0;2;2;0;4;0;0;10;0;0;0;0;0
trust;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;2;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0
clear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;2;4;2;0;2;0;2;0;2;0;2;0;0;4;2;4;0;2;2;4;0;0;2;2;2;2;0;2;4;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;8;0;6;0;0;4;0;0;0;0;0;0;0;2;0;0;2;4;0;6;0;0;4;0;0;0;2;2;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;4;4;6;0;2
violence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;8;0;0;0;0;0;2;0;2;0;2;2;0;0;0;10;0;6;4;0;0;0;0;2;2;4;0;2;0;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;6;0;0;4;4;4;0;0
higher;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;2;0;2;0;0;6;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;0;0;0;4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;2;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;4;2;0;0;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4
gun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;2;0;2;0;0;2;0;0;0;10;0;8;2;0;0;0;0;2;2;4;0;2;0;4;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;6;0;0;4;6;6;0;0
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;8;0;0;0;0;0;8;0;0;2;0;0;0;0;0;2;2;0;0;6;0;0;0;0;2;0;4;0;0;0;0;0;2;6;0;2;0;0;0;2;2;0;0;0;0;0
protection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;8;0;12;4;0;0;0;0;6;2;10;0;2;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;0;6;6;8;0;0
children;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0
ensuring;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;2;0;0;0;2;0;0;2;0;0;6;0;0;2;0;0;0;2;0;4;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
making;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;2;0;0;0;2;2;2;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2
mexicos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;2;0;0;0;0;0;0;0;4;0;0;0;4;2;0;2;0;0;0;2;0;0;0;6;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2
veterans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2
100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;6;6;0;2;0;0;0;2;0;0;0;0;0;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;8;0;0;0;2;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;4;0;4;6;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
legislature;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0
diabetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;8;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;0
opportunity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;2;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
enforcement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;4;2;4;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;6;0;0;4;4;2;0;0
drugs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;10;0;0;0;0;0
extremerisk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;2;8;0;2;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;6;0;0
