;great;trump;president;united;states;people;new;american;house;government;news;state;federal;administration;national;white;obama;democrats;world;country;man;republican;party;working;thank;history;york;best;department;big;court;media;police;senate;donald;job;help;good;election;fbi;may;campaign;russia;washington;former;fake;americans;2016;presidential;year;love;city;thing;bill;million;congress;left;justice;article;committee;america;war;win;supreme;nothing;trying;released;hard;act;important;story;killed;law;post;hillary;military;week;proud;china;fact;senator;times;security;take;clinton;texas;work;vote;strong;amazing;night;another;radical;support;second;group;reserve;women;investigation;economy
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;28;20;8;8;12;48;28;10;26;20;10;8;8;18;10;8;10;16;22;12;22;10;30;26;18;36;12;16;36;12;18;34;26;12;6;4;6;6;18;20;8;2;12;78;8;6;10;4;10;10;22;10;10;4;4;4;8;12;22;0;10;18;6;4;20;8;102;20;16;4;14;4;8;6;2;4;6;8;12;6;0;10;16;4
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;18;16;4;24;8;8;6;30;6;26;8;12;4;4;18;14;16;20;10;6;10;10;30;14;6;12;28;20;10;6;6;6;4;2;10;8;8;8;22;6;10;12;8;18;6;12;2;8;6;6;4;6;8;6;8;2;8;12;8;16;0;10;2;4;14;12;8;16;2;6;8;0;4;14;6;0;8;2;10;0;4;14;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;8;14;10;22;6;16;4;22;12;8;28;8;8;12;4;12;20;14;12;8;16;18;20;14;14;12;32;8;14;16;22;6;2;2;6;8;12;14;6;14;16;20;12;12;6;4;16;10;16;10;14;6;8;12;14;8;18;6;6;2;8;14;6;10;18;12;12;2;2;6;6;4;6;12;14;2;6;8;6;2;14;4
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;16;6;28;34;22;10;22;8;6;12;16;8;32;0;38;12;18;6;24;20;12;8;22;22;10;12;24;12;10;4;8;14;2;24;6;2;24;74;12;4;16;8;6;24;8;62;46;6;16;14;4;4;10;8;6;16;8;4;4;6;12;4;6;6;28;8;2;8;10;2;10;8;14;78;8;6;8;0;10;8;8
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;12;8;8;12;10;26;4;24;4;10;10;6;6;0;10;10;8;8;2;2;8;4;6;2;2;8;10;0;2;10;8;8;6;0;10;4;10;0;6;0;4;24;12;8;6;12;4;8;10;6;8;12;0;0;2;12;0;12;18;6;4;0;12;6;2;2;6;2;10;12;6;4;10;8;12;8;6;14;0;16
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;18;12;10;20;26;14;12;4;20;12;8;8;2;4;4;14;10;6;0;6;6;6;8;0;6;16;4;8;14;20;10;10;6;12;16;24;2;4;6;18;8;10;14;8;6;4;6;6;12;10;10;12;4;8;20;8;10;4;16;6;10;2;8;6;4;4;10;16;12;8;10;20;8;8;2;2;18;4;8
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;8;4;12;12;24;18;12;8;82;2;14;6;6;18;6;12;6;8;8;4;4;6;0;6;6;4;8;8;4;2;2;0;10;4;8;0;6;0;6;8;4;6;6;2;4;4;8;30;8;10;0;0;2;0;2;4;6;10;4;4;0;12;6;2;2;4;16;4;2;4;2;6;2;4;8;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;16;16;14;4;14;2;20;4;12;0;26;50;12;8;14;28;6;14;12;8;12;12;12;10;18;44;2;8;6;18;20;8;14;20;2;2;34;12;8;18;4;4;12;12;10;14;12;4;2;2;6;18;8;6;12;0;6;28;6;2;12;14;16;2;16;10;4;14;8;8;8;18;8;4;8;2;6
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;18;24;4;8;6;20;4;6;0;16;18;4;6;10;10;10;8;2;6;6;10;8;6;18;8;2;10;0;18;4;6;10;26;10;2;4;12;8;20;4;10;8;8;10;10;2;4;0;6;2;10;12;4;6;2;6;6;2;6;16;8;4;2;6;6;0;8;12;14;8;8;2;2;12;4;10
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;8;20;24;10;8;20;10;12;8;14;16;16;18;14;6;6;12;8;8;8;20;6;8;10;14;8;8;8;6;14;10;12;2;4;14;6;10;6;6;12;2;102;4;22;6;4;12;4;2;8;4;12;8;6;8;0;2;8;2;8;16;8;14;10;6;6;10;10;8;4;0;8;2;8
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;16;6;22;4;8;4;8;0;14;14;18;10;4;8;6;0;8;0;14;8;6;2;10;18;6;8;10;0;10;2;8;10;2;20;4;10;4;8;10;6;16;12;8;6;0;2;2;6;4;6;14;6;2;8;6;8;10;2;2;6;12;4;16;10;4;2;22;0;6;4;10;2;2
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;26;4;14;6;8;0;16;4;8;8;10;20;6;4;10;10;6;2;4;12;12;26;0;6;4;20;12;4;6;6;6;4;4;10;18;8;4;2;10;0;4;12;18;10;4;2;4;8;8;6;4;4;8;6;8;4;0;14;2;6;2;0;2;10;8;6;2;8;2;6;6;4;4
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;12;8;2;22;6;18;2;8;10;6;12;6;12;10;14;24;14;4;8;16;10;4;42;4;14;6;6;6;6;10;8;12;8;4;2;6;4;8;4;6;8;12;8;6;22;4;6;12;10;0;4;6;108;4;0;8;0;4;0;4;6;12;4;6;0;2;4;8;8;2;4
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;4;6;4;2;6;6;6;22;14;2;2;4;2;6;2;14;8;6;8;14;10;6;40;8;0;4;14;0;2;4;12;4;10;4;6;6;0;14;2;6;8;2;0;2;4;6;8;12;4;6;16;4;2;6;0;2;4;8;6;18;4;8;6;0;6;0;2;6;0;8
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;6;54;0;2;8;10;2;14;36;10;16;18;14;16;6;10;18;10;6;0;12;0;4;8;8;4;146;2;8;2;2;12;0;4;4;20;0;6;4;6;10;14;4;14;8;8;6;4;8;2;10;12;2;20;10;4;4;4;4;10;4;2;2;2;4;2;4;46;2
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;6;16;6;16;6;14;6;4;0;6;4;12;2;8;6;8;10;4;4;4;2;10;6;6;10;4;2;4;8;2;30;6;6;10;6;10;12;2;8;2;4;4;2;6;6;10;0;4;6;4;10;4;4;2;6;8;8;10;6;4;8;0;10;0;4;2;0;2
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;6;8;2;2;2;6;0;4;2;0;12;2;0;14;2;0;0;0;0;0;2;2;2;6;22;2;0;12;4;8;186;2;4;2;6;16;8;2;0;30;8;0;0;6;0;0;6;2;2;10;0;2;22;2;4;2;0;0;2;4;2;10;2;0;6;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;14;14;12;8;14;14;4;12;14;12;4;94;2;10;18;4;2;2;14;2;4;0;8;6;4;12;2;2;6;2;8;28;4;12;2;2;14;6;4;8;6;0;10;0;4;12;6;2;0;2;6;0;8;6;0;4;4;8;2;4;2;10;4;0;4;4
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;2;0;4;2;0;0;6;6;0;0;2;2;4;2;24;2;2;6;0;2;8;0;0;2;2;2;4;2;0;12;2;2;2;4;36;14;4;2;6;4;6;0;0;0;6;4;0;2;4;6;2;0;4;12;2;0;4;4;4;0;8;10;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;12;4;20;10;12;12;18;8;14;8;4;22;16;2;2;0;2;42;6;20;10;4;4;72;0;4;10;6;10;6;22;8;20;14;2;2;10;8;4;0;8;6;0;4;10;4;6;10;2;10;4;28;8;0;6;6;12;8;14;6;0;2;12;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;12;24;8;6;26;16;28;10;20;8;18;42;4;0;8;6;8;8;6;12;4;6;10;4;8;14;6;14;6;2;0;2;8;6;2;4;16;20;4;2;6;6;8;6;14;8;2;18;6;2;8;6;2;4;10;2;2;6;6;2;2;6;4
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;28;10;12;4;4;4;10;4;12;10;6;4;4;2;2;12;6;0;8;12;8;2;2;4;4;4;2;10;10;0;12;0;10;0;2;2;0;6;0;12;8;4;10;6;6;2;6;6;0;8;0;8;24;6;6;12;4;4;8;18;6;4;18
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;6;0;4;0;6;8;10;6;4;6;10;4;4;14;24;14;4;4;6;2;10;4;6;2;4;8;6;6;8;6;6;2;6;6;4;0;2;6;2;4;6;2;6;0;6;2;6;4;4;8;0;2;4;10;8;8;6;4;0;6
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10;6;6;8;2;10;10;10;8;4;6;4;4;10;2;10;8;10;6;0;2;6;0;10;2;8;12;10;20;2;14;2;0;6;4;8;6;10;12;4;4;14;4;0;4;8;0;6;8;8;10;4;8;4;2;2;2;2;2;2;8
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;36;34;8;8;6;12;98;84;8;0;0;6;4;10;8;10;16;4;28;8;0;18;6;6;16;20;8;2;6;10;0;4;18;20;4;2;0;2;10;8;4;4;2;22;0;6;10;2;0;2;8;4;8;2;6;0;0;22;10
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;32;40;14;48;14;4;20;12;8;0;4;2;6;4;16;8;42;6;14;6;0;6;0;14;6;10;0;6;6;12;6;8;12;26;2;4;0;4;4;8;10;20;4;20;2;6;2;0;0;4;2;4;2;0;6;0;0;54;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;22;6;12;10;6;14;6;8;8;4;4;2;2;6;0;6;10;8;4;6;6;8;0;2;8;2;8;4;8;4;8;10;8;2;0;4;6;2;6;8;18;2;6;4;0;6;2;4;6;20;0;4;0;4;10;0;12;6
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;2;18;18;8;48;46;4;0;2;4;0;12;6;8;16;6;34;0;6;18;0;6;6;14;4;8;0;8;2;8;2;38;0;2;2;0;12;10;14;4;2;38;2;0;4;0;0;4;16;4;2;2;4;4;4;14;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;10;12;4;36;28;2;0;0;4;2;2;18;6;16;4;20;0;16;20;0;6;8;6;2;8;0;8;2;6;6;0;4;0;0;8;8;8;8;10;4;0;0;4;2;4;0;6;10;2;4;0;8;2;0;20;4
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;8;10;12;12;4;4;8;2;4;2;16;6;12;2;6;0;8;8;12;4;12;8;0;4;6;14;2;4;62;4;2;2;2;4;4;6;10;2;10;6;2;2;8;2;0;4;2;4;4;4;2;0;4;12;4
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;20;12;6;4;12;8;6;6;14;4;10;12;22;2;6;8;2;6;4;12;10;4;4;6;6;2;14;14;2;6;4;0;2;4;14;26;4;16;4;6;0;2;2;4;4;2;4;0;0;0;2;18;4
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;8;6;2;2;12;8;2;2;14;4;4;4;4;0;0;0;14;28;2;10;4;2;16;0;2;2;4;0;10;4;2;14;6;14;4;4;4;0;10;4;0;0;4;16;8;2;0;0;4;0;4;2
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;18;6;2;10;6;12;8;8;2;10;2;4;6;4;12;0;0;2;8;12;6;0;20;14;6;4;6;2;2;4;6;0;2;16;6;6;2;16;4;2;4;2;4;8;4;6;2;4;6;4;10
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;6;0;6;2;2;12;6;6;16;2;30;6;0;22;0;4;8;28;2;2;6;8;4;4;8;22;2;0;2;0;8;8;8;6;2;16;4;4;6;4;0;2;10;4;2;2;6;2;6;14;4
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;6;2;8;6;6;10;8;24;4;0;20;0;4;4;14;4;6;6;0;0;2;6;26;0;2;2;0;6;8;12;8;4;20;2;4;2;4;2;6;4;4;2;4;2;0;2;4;2
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;12;2;2;12;2;4;2;4;0;4;6;0;2;2;8;10;12;8;2;4;10;2;6;2;2;2;4;4;10;0;12;4;6;0;4;2;2;2;8;0;8;0;2;10;4;16;6;4;6
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;2;0;2;8;4;2;0;14;0;4;0;4;0;0;10;0;2;8;0;4;4;0;2;10;8;2;6;4;2;0;10;0;2;8;0;6;18;0;2;6;4;4;2;2;6;0;2
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;22;0;4;4;2;0;2;0;2;0;2;2;0;2;4;2;0;4;4;0;2;4;0;10;0;0;0;6;0;2;2;6;12;2;4;2;10;2;0;6;4;4;0;8;2;2
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;0;0;2;8;6;6;0;6;4;0;12;0;26;2;0;4;2;4;14;2;4;0;8;2;4;6;6;2;2;2;4;2;2;2;2;2;4;4;2;2;4;0;4
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;16;6;0;4;8;4;2;6;2;2;10;0;6;24;6;2;6;10;4;2;4;4;10;0;0;6;6;6;2;8;14;6;22;2;2;6;2;4;14;2;0;0;0;2;2
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;10;0;4;2;0;0;4;6;0;2;0;2;6;6;2;8;0;2;4;4;2;6;0;2;0;8;2;4;4;0;2;0;6;0;2;0;0;0;0;2;2
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;10;4;0;4;4;12;4;2;8;26;8;4;0;2;8;4;6;6;4;0;10;12;4;10;6;6;0;8;10;8;4;0;6;10;8;4;4;0;8;10;6
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;2;6;6;6;32;16;2;4;4;0;6;0;6;0;2;4;8;4;2;4;2;4;2;16;0;2;4;4;4;0;4;20;108;2;2;4;0;2;4;6
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;6;20;4;4;6;0;12;4;2;2;6;8;10;4;12;0;2;8;2;2;2;2;14;2;2;2;4;2;6;4;2;0;2;4;0;0;38;2
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;6;0;2;4;0;0;2;10;0;2;0;0;8;6;0;0;2;2;2;0;8;4;2;6;2;2;2;2;2;4;2;4;4;0;4;4;0;4;4
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;0;6;6;32;4;8;2;0;0;8;4;16;0;2;6;0;4;6;2;14;2;12;2;4;0;0;0;0;6;2;6;2;2;2;2;20;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;8;6;8;8;8;4;4;6;6;4;2;10;8;4;12;2;0;2;2;2;10;10;0;4;2;8;2;0;2;6;4;4;0;2;8;0;6
war;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;4;8;0;4;4;6;6;4;2;2;8;2;0;6;0;8;6;0;2;0;2;2;2;4;4;0;4;12;2;4;2;2;6;2;2
win;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;6;2;10;8;0;4;2;6;0;10;2;4;0;2;6;4;2;8;6;10;0;0;10;8;2;6;2;2;4;6;2;0;6;0;4
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;6;8;8;2;0;26;6;0;0;4;0;0;2;2;0;2;0;0;18;2;2;2;0;0;0;4;2;6;2;0;2;0;0
nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;8;6;2;2;0;0;10;2;4;4;8;12;8;8;6;6;6;0;4;2;0;4;0;4;34;0;0;4;0;2;4;2
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;6;2;6;0;8;4;10;4;2;0;6;8;6;2;2;18;10;4;0;6;0;2;0;2;8;4;2;4;6;4;2;8
