;covid19;stay;home;state;washingtonians;health;response;washington;#wegotthiswa;healthy;update;watch;wa;work;people;continue;protect;recovery;virus;public;help;giving;working;staying;across;states;plan;workers;safety;reopen;new;lives;distancing;crisis;families;businesses;together;risk;may;proud;science;food;best;2;spread;put;live;tune;safe;q;grateful;protecting;care;restrictions;schools;thanks;soon;fight;testing;service;#askgovinslee;thank;order;hope;support;economy;take;physical;progress;easter;court;begin;still;guide;ppe;available;presidents;important;step;27;million;effort;morning;judge;lost;year;talk;67;rent;slow;measures;17;needs;family;weeks;47;normal;good;times;cant
recovery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;6;2;0;0;4;2;0;2;0;0;2;2;2;0;4;2;0;0;6;0;0;0;6;0;2;0;4;0;0;2;2;4;0;0;4;0;2;0;0;2;0;2;4;2;0;0;2;0;0;2;0;2;0;0;4;0;4;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;2;0;0;0;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;2;4;0;4;2;0;2;0;2;4;2;0;2;0;2;2;6;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;2;0;0;6;0;0;0;0;4;0;0;0;0;4;4;0;2;0;2;2;4;0;0;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;4;2;2;0;2;4;0;0;2;0;0;0;0;0;0;0;2;0;0;2;4;2;2;2;2;0;2;0;4;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;2;2;0;2;2;2;0;0;2;2;0;2;0;0;4;2;0;0;2;2;2;0;2;0;0;2;0;0;0;6;2;0;0;0;2;2;0;0;0;2;0;2;0;2;0;0;0;6;0;0;0;2;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0
giving;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;8;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;4;2;2;2;2;2;0;0;4;6;0;0;0;2;0;0;4;4;0;0;0;4;2;0;0;2;2;0;0;2;0;0;0;2;2;0;0;0;2;2;0;2;0;0;0;0;2;2;0;4;0;2;4;2;0;0;0;0;0;0;0;2;2;2;0;0;0;2;4;0;0;0;0
staying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;6;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;10;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;2;4;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;4;2;0;0;0;0;2;4;0;2;0;0;2;0;0;0;2;0;0;0;2;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;0;0;8;0;0;2;4;0;2;2;2;0;0;0;0;0;2;0;0;0;0;2;2;2;2;2;0;2;0;0;0;4;4;0;2;0;2;2;2;4;2;0;2;0;0;0;2;0;4;0;0;0;2;0;0;0;0;2;2;2;2;0;0;0;0;0
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;2;0;4;0;2;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;4;2;2;0;0;0;0;0;0;0;0;0;0;8;0;4;4;6;0;0;0;2;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;2;4;0;0;0;0;2;2;0;0;0;0;4;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;4;2;0;8;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;2;0;0;0;8;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;2;2;0;2;2;0;2
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;4;0;2;2;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;12;4;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;4;0;0;2;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;6;0;0;0;0;2;2;0;0;2;2;2;0;0;0;2;4;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;2
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;2;0;0;0;2;4;0;2;0;0;0;0;0;0;4;2;2;0;2;0
