;covid19;help;canada;support;country;work;people;together;canadians;across;safe;spoke;working;new;business;call;workers;update;home;details;live;watch;health;businesses;emergency;world;taking;making;family;thank;everyone;stay;pandemic;response;thanks;morning;giving;economy;click;talked;countries;canadian;continue;protect;focused;fight;benefit;tune;food;subsidy;steps;care;wage;year;communities;friends;impacts;important;measures;earlier;helping;situation;president;spread;families;virus;keeping;apply;announcing;week;international;meeting;able;latest;phone;jobs;difficult;economic;global;thoughts;talk;good;times;hard;million;forward;strong;community;prime_minister;announced;loved;leaders;lives;celebrate;whether;women;front;info;provinces;government
talked;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;4;12;6;8;0;0;0;0;14;2;0;0;2;0;14;4;6;20;0;8;26;6;4;6;4;0;0;0;18;6;0;8;18;4;2;10;10;0;6;4;2;0;0;2;2;2;24;0;0;0;2;0;0;2;0;0;0;2
countries;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;10;4;22;0;0;0;0;6;0;0;0;4;2;12;4;2;6;0;10;32;4;0;12;0;0;0;0;10;6;0;2;16;4;0;16;8;0;8;2;2;2;0;8;8;2;16;0;0;2;2;0;0;0;0;2;0;6
canadian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;4;4;0;0;4;0;2;2;4;0;4;2;0;4;0;2;6;2;4;0;0;2;4;0;2;4;0;0;0;4;0;0;10;2;2;0;2;0;2;0;2;0;2;10;0;0;8;4;4;2;2;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;8;0;2;0;2;0;0;0;4;8;0;4;2;8;2;10;2;8;2;0;2;2;6;2;0;8;4;0;2;0;0;0;0;2;0;6;10;4;2;0;4;4;2;4;0;4;0;2;2;2;4;4
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;2;12;4;2;0;2;0;8;2;18;8;0;4;6;6;0;6;0;0;2;0;8;0;0;4;12;14;0;2;6;0;2;2;2;2;0;4;2;2;10;10;0;4;2;0;4;2;8;2;0;2
focused;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;8;4;0;2;6;2;6;0;0;4;6;6;2;6;2;4;14;0;2;4;6;14;0;4;4;6;0;8;0;0;10;12;2;2;0;4;0;2;8;2;0;10;0;0;4;0;2;2;2;4
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;2;6;0;2;6;0;4;4;4;14;2;0;8;2;0;4;8;6;4;2;0;10;0;0;8;4;0;6;4;0;2;2;2;6;4;0;0;2;6;0;2;4;2;6;0;0;2
benefit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;6;6;4;0;0;0;2;0;0;4;0;0;0;2;0;2;18;6;4;0;0;6;0;0;0;2;2;0;0;2;0;2;2;2;0;2;0;0;4;0;0;0;0;8;2;0;6;0;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;10;4;4;0;2;0;6;0;6;0;4;8;0;2;2;0;4;0;28;8;0;0;0;18;0;4;2;0;0;0;4;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;4;6
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;0;4;0;2;2;2;0;6;2;0;2;4;0;0;0;6;2;0;0;2;0;0;0;2;0;0;0;0;4;6;4;6;0;4;2;0;2;0;0;0;0;2;0;0;4;0;0
