;new;covid19;#covid19;mexico;health;cases;state;deaths;statewide;home;additional;public;spread;currently;mexicans;info;stay;totaling;update;bringing;positive;announced;todays;tests;#alltogethernm;individuals;continue;mask;safe;@nmdoh;hospitalized;pandemic;mexicos;slow;officials;virus;face;community;protect;order;may;testing;statewidemore;wear;essential;related;businesses;thank;lives;information;care;people;social;work;statewidesadly;staying;part;live;help;support;emergency;reopening;#askgovmlg;distancing;across;please;crisis;practices;available;ensure;tune;tomorrow;unemployment;save;week;federal;able;covidsafe;tested;together;incredible;still;working;workers;online;safety;slowing;important;risk;required;gather;take;benefits;critical;absolutely;provide;thanks;masks;3;mexican
bringing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;68;114;134;0;106;6;8;0;50;88;0;2;8;58;0;0;2;0;0;0;0;72;10;0;66;0;0;6;0;0;6;2;0;50;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0
positive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;78;142;2;66;6;8;2;60;50;0;4;10;62;4;0;10;0;0;0;10;34;10;4;66;0;0;6;0;4;14;2;0;50;4;2;2;0;0;0;0;6;2;2;2;0;0;2;2;2;0;0;6;4;0;0;0;10;0;2;0;2;0;2;0;2;0;0;0;6;0;0;2;2;0;4;0;4;0
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;76;0;4;8;2;0;58;4;0;4;4;62;0;2;0;0;4;0;6;2;2;0;66;2;0;0;0;6;4;2;0;50;2;0;0;2;2;0;2;2;4;0;2;0;2;2;0;0;0;2;0;8;0;0;2;4;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;108;6;8;0;10;90;0;2;8;0;0;0;2;0;2;2;2;72;10;0;8;0;0;6;4;4;6;2;0;0;2;4;0;0;0;2;0;2;2;0;10;0;2;2;0;0;8;0;6;0;0;0;2;4;0;0;0;0;0;0;0;2;2;2;2;6;0;0;0;0;0;2;0;0;0
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;6;8;2;50;52;0;2;10;62;4;0;2;0;0;0;0;36;10;2;66;2;0;6;0;4;6;2;0;50;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;6;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;6;0;0;0;2;0;0;0;0;0
#alltogethernm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;18;8;14;0;6;14;32;22;22;8;18;14;12;2;4;0;0;4;4;0;2;24;12;4;12;8;4;8;0;6;6;8;2;10;14;0;2;4;6;0;2;0;0;4;6;2;0;14;0;2;0;0;0;8;8;10;2;4;0;2;4;4;2;0;6;4;0;2;4;8;4;2;16;8
individuals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;98;8;0;12;0;2;0;2;4;0;2;0;72;10;0;2;4;0;4;0;0;6;2;2;0;0;4;2;0;2;2;4;0;2;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;4;2;2;0;0;0;6;0;0;0;2;0;0;0;0;2
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;4;4;10;16;24;0;20;18;2;14;14;6;8;0;12;6;6;6;4;8;6;6;4;14;6;0;6;12;2;4;8;6;6;4;12;4;6;4;4;2;6;0;4;0;6;2;2;4;4;2;6;6;10;4;0;0;6;8;0;4;2;8;14;0;8;0;4;2;4;0;2
mask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;6;16;0;4;34;12;20;0;10;0;0;32;4;0;2;4;6;2;4;4;6;0;0;4;8;0;2;0;0;0;0;10;4;0;0;0;0;2;0;2;0;6;2;0;2;0;2;6;6;4;0;2;2;2;10;4;0;14;2;0;0;2;2;2;6;12;2;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;10;4;0;14;2;10;2;8;8;4;0;6;8;0;2;10;2;4;10;6;4;6;0;8;4;2;8;4;8;12;4;4;4;0;0;8;2;8;2;4;0;4;0;2;4;2;4;6;0;2;8;8;2;0;2;2;0;0;6;0;0;0;2;2;6;2;2;0
@nmdoh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;52;0;0;4;2;6;0;24;0;0;0;52;0;0;0;0;4;8;2;4;50;0;6;0;0;0;0;0;8;0;2;10;0;4;4;0;0;8;0;0;8;2;0;4;8;0;0;2;4;0;2;0;0;2;0;4;0;0;0;2;0;4;6;0;2;0
hospitalized;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;2;2;0;0;2;0;0;0;72;2;0;2;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;18;0;10;4;2;6;0;2;8;0;2;6;0;8;2;4;4;2;6;0;2;0;2;6;0;4;4;2;2;6;0;8;4;2;0;14;6;0;6;18;2;2;6;6;0;6;4;0;8;6;10;6;8;0;2;2;2;0;0;10;8;2;2;4;0;0;2
mexicos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;26;6;14;10;6;12;2;4;0;4;4;0;6;4;6;2;6;2;8;6;0;4;6;16;2;0;16;6;2;8;0;2;0;4;2;8;8;4;0;8;2;6;2;4;0;2;8;2;0;4;0;6;4;4;4;0;2;0;0;4;0;10;4;4;20;2
slow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;22;14;22;8;6;8;2;14;10;2;2;4;14;0;6;2;2;4;0;12;18;0;4;0;2;2;4;2;0;10;0;2;4;0;0;0;0;14;0;0;0;2;8;4;2;4;4;2;0;2;4;4;8;4;6;4;0;4;6;2;2;4;0;6
officials;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;2;0;0;58;0;0;0;0;2;2;0;2;50;0;2;10;0;0;8;0;0;0;2;2;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;16;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;10;12;12;2;0;6;6;0;2;0;12;2;6;10;10;0;0;4;6;4;4;0;0;8;6;10;6;2;2;4;0;2;0;0;0;4;0;0;6;2;2;2;0;2;0;0;0;4;8;0;6;2;4;4;0;4;8;2;4;0;0;4
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;22;2;12;2;0;30;8;0;2;6;8;0;6;2;12;2;0;4;10;6;2;6;0;0;6;12;2;0;2;2;0;2;6;0;0;6;4;0;0;2;2;6;8;12;0;0;0;2;18;8;8;6;10;4;0;6;4;12;4;16;2;2
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;4;2;0;10;10;0;0;12;2;0;12;4;0;2;0;4;14;2;2;10;2;0;2;0;6;0;0;0;2;6;0;0;0;0;0;6;0;0;4;8;6;6;4;4;0;4;2;2;4;6;2;4;0;6;10;2;8;2;4;6
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;20;2;0;0;6;0;2;6;4;2;2;0;8;10;2;0;2;0;2;0;2;4;2;0;0;0;4;0;0;0;2;2;0;0;0;4;4;6;8;2;8;0;6;6;0;4;8;8;8;0;4;2;2;6;4;0;2
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;0;2;10;0;10;2;4;6;0;0;2;2;0;0;0;2;0;0;16;10;2;0;0;2;2;18;2;0;0;6;0;2;4;0;4;16;0;0;0;0;0;0;2;6;0;2;4;8;0;0;2;0;0;2;0;0;2;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;8;0;8;0;4;2;0;0;6;2;0;4;0;0;2;4;12;6;2;4;2;0;0;10;2;2;0;8;2;4;0;0;8;8;0;2;4;2;2;2;2;2;4;4;4;10;0;0;2;0;4;6;0;12;2;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;6;4;14;2;2;0;0;4;0;2;0;2;0;8;2;8;0;0;2;10;2;0;0;0;0;8;6;2;2;18;0;0;2;4;0;2;2;0;6;0;2;0;0;0;0;0;2;6;0;2;2
statewidemore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
wear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;6;0;2;2;0;10;6;0;0;4;4;0;2;0;0;0;2;10;2;0;0;2;0;2;0;4;0;4;2;0;0;2;4;6;2;6;0;2;0;2;4;6;6;12;16;2;0;2;2;0;2;8;0;0
essential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;8;4;2;0;6;2;4;0;10;4;0;2;0;10;0;8;0;4;4;0;0;2;0;0;2;0;2;0;4;0;0;2;4;0;0;8;2;0;4;6;0;2;4;2;4;0;2;18;4;0;6;0;0
related;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;50;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;0;0;2;0;0;6;6;10;6;2;0;2;2;6;8;4;0;0;4;0;0;0;2;4;8;0;4;0;4;0;2;0;4;2;0;0;4;0;0;0;0;4;0;0;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;6;2;0;8;0;0;4;2;2;6;8;0;0;2;0;2;0;0;0;2;2;0;0;4;2;2;0;0;0;0;12;0;4;4;0;2;4;0;0;0;0;0;0;2;6;0;0;2;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;4;0;4;4;2;2;2;2;2;2;4;4;4;6;0;0;0;0;2;0;28;0;0;0;0;2;0;0;0;2;0;0;2;4;2;4;0;0;2;0;2;0;0;2;6;0;4
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;0;0;0;6;0;0;2;0;2;0;0;2;0;2;4;6;2;2;6;2;0;4;0;2;0;0;0;0;0;2;2;4;0;2;0;0;0;0;6;2;0;2;2;0;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;4;2;2;4;4;2;6;0;4;0;6;0;0;4;0;0;0;4;0;4;0;0;6;2;6;2;2;10;0;2;4;0;2;0;0;0;0;4;2;2;2;2;0;2
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;4;2;4;0;2;2;4;4;6;2;2;0;2;4;0;0;0;0;4;2;0;0;6;2;0;0;6;0;0;2;4;0;2;0;18;2;0;0;0;0;4;0;0;2
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;0;0;0;2;2;2;34;2;2;0;0;0;0;0;2;2;6;2;2;4;0;2;0;0;4;0;0;2;2;12;2;2;2;6;0;2;0;2;6;0;4;2;4
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;2;0;4;0;0;0;2;8;0;0;2;6;4;2;0;0;0;4;6;0;2;4;0;0;2;2;0;0;0;0;4;2;4;4;0;0;0;4
statewidesadly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
staying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;6;6;2;4;0;0;0;0;0;0;0;2;0;0;2;0;0;2;4;4;0;2;0;0;4;0;2;0;4;0;0;0;8;2;2;2;2;0
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;4;0;6;0;0;0;4;0;2;0;2;0;2;2;0;2;2;0;4;4;4;0;0;4;4;6;4;4;0;0;2;2;2;2;2;2;4
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;0;2;12;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;2;0;10;0;2;8;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;0;6;2;6;2;6;2;2;0;0;2;0;2;4;2;0;0;0;4;4;0;0;0;0;4;2;0;2;2;0;0;0;0;0;2;0;2
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;8;0;4;2;0;2;0;0;2;0;0;0;0;8;6;4;2;2;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;2;2;0;2;0;2;2;2;0;4;0;0;2;0;2;4;0;2;0;2;0;4;2;2;0;2;2;0;0;0;6;0
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;10;4;0;0;2;0;2;4;0;0;6;0;0;0;0;0;4;4;2;0;0;4;2;0;4;0;0;0;0;0;0;0;0
#askgovmlg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;2;2;0;2;2;2;4;12;2;0;4;2;0;4;2;2;0;0;2;4;2;0;0;0;4;4;8;2;0;2;0;2
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;2;0;4;0;2;0;0;2;0;0;2;4;12;4;2;2;6;0;0;0;0;4;0;2;0;4
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;0;0;0;2;4;0;0;6;6;4;2;4;2;2;2;2;2;0;2;0;0;0;0;2;0;0;0;2;0
