;north;people;gov;covid19;work;state;cooper;restrictions;home;carolina;health;help;order;virus;new;school;testing;stay;carolinians;working;continue;lives;trends;coronavirus;tracing;ease;may;give;plan;live;economy;fight;members;task;force;update;hospitals;move;week;businesses;unemployment;safe;normal;thank;social;pandemic;students;public;another;path;forward;business;staying;distancing;communities;spread;together;families;important;schools;local;watch;beat;still;dr;cohen;protect;coopers;hope;general;shared;cases;making;assistance;times;easing;community;take;support;food;hard;data;partnership;strong;year;workers;learning;guidance;updates;medical;ways;play;supplies;capacity;key;hospital;difficult;actions;briefing;phase
tracing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;6;0;0;2;0;0;0;0;2;0;4;0;0;0;4;0;0;0;0;4;2;8;4;4;0;0;2;6;4;0;0;2;4;0;0;0;2;0;0;2;0;2;4;2;0;2;0;0;4;0;0;0;0;0;4;0;0;0;0;4;2;2;0;2;0;0;6;0;0;0;0;0
ease;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;6;0;4;0;0;2;2;0;2;4;2;2;0;2;8;0;0;0;0;2;2;4;4;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;6;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;4;0;4;0;0;4;0;0;2;2;4;2;0;2;2;0;0;0;0;2;0;4;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2
give;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;24;2;2;24;24;24;22;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;16;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;0;4;4;0;0;2;2;0;0;2;2;2;0;2;6;0;0;0;4;2;4;2;0;0;2;0;0;2;0;0;0;2;2;2;4;0;2;0;0;0;4;2;2;0;0;6;2;0;2;0;4;4;0;0;2;2;0;0;6;0;2;2;0;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;8;0;8;2;12;0;0;2;0;0;2;4;2;10;4;2;2;2;2;2;4;4;0;2;0;2;0;0;0;4;0;0;0;0;2;0;0;0;6;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;4;0;2;4;2;0;0;2;0;0;0;2;2;0;2;4;0;2;0;0;0;2;0;4;4;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0
members;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;24;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
task;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;22;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;16;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0
force;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;16;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hospitals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;2;0;0;2;0;0;0;0;2;4;0;0;0;4;0;2;2;2;0;2;0;0;0;0
move;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;8;0;2;0;2;2;2;2;0;6;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;0;0;2;0;4;0;0;2;6;0;0;0;2;0;0;0;0;2;0;0;2;2;2;0;0;0;6
