;#covid19;pennsylvania;pennsylvanians;help;health;home;phase;counties;stay;businesses;people;pa;reopening;thank;safe;yellow;guidance;continue;work;vote;spread;plan;safety;new;care;commonwealth;lives;masks;resources;students;order;food;mask;election;green;public;may;program;protect;place;wear;pandemic;social;move;red;2;cases;june;business;primary;workers;mail;schools;mental;reopen;violence;restrictions;county;sign;register;together;distancing;state;stop;information;still;working;school;learn;take;paians;across;assistance;available;@pahealthdept;everyone;ballot;million;support;latest;making;heres;efforts;part;prevent;proud;unemployment;please;signed;pennsylvanian;find;registration;follow;close;law;possible;employees;provide;virus;families
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;6;16;16;6;0;18;0;8;4;4;6;6;0;10;2;8;0;16;0;2;4;4;4;6;4;6;4;0;0;4;0;4;2;4;4;12;16;0;46;4;6;2;0;4;0;4;2;2;0;4;10;2;0;0;10;2;4;6;14;14;0;0;6;2;6;2;0;0;8;0;4;2;2;14;2
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;6;2;14;0;0;4;10;0;4;0;0;4;8;2;6;4;2;2;10;0;0;8;0;2;0;4;0;0;0;8;0;14;2;8;2;0;0;8;0;6;0;0;2;2;12;4;4;4;6;4;0;4;0;0;6;2;0;4;2;2;4;2;6;0;0;0;2;2;0;6;0;4;4;2;4;0;2
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;14;4;4;6;2;6;0;12;10;2;0;8;26;6;4;12;0;10;6;2;2;10;2;6;0;0;0;10;2;10;6;2;0;0;10;0;2;4;4;4;4;2;6;4;2;0;0;10;0;0;0;0;2;0;4;4;0;4;0;0;2;2;0;0;0;16;0;4;6;8;2;0;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;8;2;2;18;2;0;2;0;4;2;2;16;2;0;2;2;10;6;2;0;14;4;6;0;0;0;2;6;6;0;0;6;4;0;4;10;8;4;4;0;0;8;4;2;0;8;2;8;2;0;0;2;0;4;2;0;6;0;2;2;0;6;2;4;0;0;0;0;8;0;2;4;4;6
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;0;0;2;4;6;0;8;10;0;4;8;10;4;4;0;4;0;0;6;0;2;0;16;0;12;6;2;0;10;2;0;0;0;0;2;2;2;8;2;0;0;6;4;10;4;0;2;4;0;4;6;0;2;4;2;0;0;2;0;0;2;2;0;0;2;2;0;0;2;4;0;0
commonwealth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;2;2;4;0;0;6;2;0;2;4;0;0;8;2;2;4;0;4;0;4;0;8;0;2;0;14;4;0;4;2;0;14;2;2;2;4;2;8;2;6;2;2;22;6;4;2;6;0;4;4;4;6;2;6;4;0;12;2;2;2;8;2;0;0;0;4;0;2;2;0;8
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;2;0;0;0;0;6;2;0;2;2;0;10;6;0;2;4;0;0;0;4;0;2;0;2;8;0;0;0;0;10;10;2;6;0;4;0;2;2;0;2;0;2;2;2;2;0;4;4;2;6;2;6;8;2;4;0;2;0;4;0;0;2;0;0;4;0;6;6;4
masks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;30;0;4;22;4;0;10;10;38;0;16;4;8;0;8;0;18;0;2;0;0;0;4;0;2;2;0;0;0;14;0;4;4;4;0;0;0;2;2;6;0;0;0;2;0;2;0;0;2;0;0;0;16;2;0;10;0;2;0;0;10;0;0;10;2;2;10;0
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;26;0;0;0;2;0;2;4;0;2;8;0;0;0;0;2;0;6;0;0;0;0;14;2;0;0;2;0;0;0;0;2;4;12;0;8;0;2;0;4;6;14;22;2;0;0;0;10;4;4;2;0;0;2;0;2;6;2;10;20;0;0;0;0;0;0;4;0;8
students;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;30;2;0;0;0;2;0;0;0;0;0;2;0;0;0;16;0;0;2;0;2;0;0;0;2;10;0;0;0;2;16;2;2;2;6;2;2;0;0;0;4;0;0;2;2;0;0;0;2;0;0;0;4;2;2;0;0;4;0;0;0;0;2
