;nevada;thank;phase;nevadans;state;continue;reopening;covid19;may;social;public;businesses;distancing;health;2;work;1;help;week;testing;face;stay;local;safe;nevadas;reopen;together;pandemic;new;people;working;plan;response;data;take;states;please;remain;home;gaming;efforts;able;still;services;guidance;system;community;capacity;staff;claims;communities;virus;protect;closed;care;coverings;pleased;leap;wear;test;@detrnevada;employees;office;strict;positive;press;county;covering;industry;morning;board;helping;restrictions;honor;good;directive;#covid19;safety;provide;leaders;director;emergency;call;requirements;recovery;families;50;unemployment;ability;department;service;united;great;live;facilities;counties;events;difficult;online;gatherings
public;0;0;0;0;0;0;0;0;0;0;0;6;14;20;8;0;8;0;4;4;8;4;8;2;4;6;0;6;8;12;2;0;10;2;2;6;0;6;4;0;4;2;4;4;2;4;0;2;0;0;0;0;0;6;0;6;0;0;6;2;0;4;0;6;4;0;0;2;0;2;2;0;4;2;0;2;0;6;0;4;6;6;0;2;2;0;4;0;6;0;2;4;2;0;2;0;2;0;0;10
businesses;0;0;0;0;0;0;0;0;0;0;0;0;8;0;10;6;12;0;2;0;6;2;12;2;2;10;2;0;2;8;4;0;2;2;4;0;0;8;2;2;4;6;6;2;6;0;0;0;2;0;2;0;0;4;0;4;0;6;6;0;0;4;4;10;0;0;2;2;6;2;2;0;4;0;0;2;2;0;2;0;2;2;0;4;2;0;2;0;0;2;0;0;4;2;2;4;2;2;4;2
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;2;2;0;18;4;0;8;4;14;2;0;2;18;2;0;2;0;4;0;4;6;6;0;0;2;4;0;2;0;0;8;2;0;0;4;4;4;2;10;0;0;10;0;0;0;2;16;0;0;2;8;0;4;0;0;6;4;2;0;0;0;0;0;0;0;0;14;2;2;14;0;0;0;4;0;0;0;2;0;0;0;2;8
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;8;4;4;0;2;6;2;4;2;0;2;8;2;2;0;14;2;8;6;0;2;0;6;4;0;0;6;0;10;2;4;0;0;0;2;8;2;10;0;4;4;0;2;0;4;0;2;4;0;0;0;4;2;8;0;2;0;0;2;0;16;0;6;6;4;0;0;2;0;0;0;6;2;0;0;0;2;6;2;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;2;8;2;4;2;8;16;4;0;4;6;2;2;0;8;6;0;0;8;0;2;2;4;4;2;6;0;0;6;2;0;0;2;0;6;0;6;0;4;4;0;0;2;4;4;0;6;0;2;2;0;0;0;4;0;2;6;0;0;4;2;0;0;4;2;0;2;8;0;4;0;0;0;0;4;4;0;2;0;2;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;6;4;2;2;4;6;2;2;10;8;2;2;2;2;4;0;2;2;0;0;4;2;6;2;2;2;0;2;6;0;0;0;4;6;0;0;4;2;0;4;0;2;0;4;4;0;4;0;2;0;2;0;0;6;0;0;4;0;2;0;0;4;0;0;2;2;0;0;0;0;2;0;0;0;8;0;2;4;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;10;8;2;4;2;2;0;4;0;0;2;2;6;2;2;4;10;6;0;2;4;4;0;6;0;2;2;0;0;2;4;2;6;0;0;4;6;0;0;0;0;0;2;4;4;6;0;0;0;0;2;4;0;0;4;0;0;2;2;2;0;4;2;4;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;8;2;2;2;4;2;2;6;4;0;8;2;4;0;2;4;4;2;0;2;4;2;4;2;0;2;8;0;4;8;6;2;8;2;4;2;4;0;2;0;8;8;2;0;0;0;2;4;2;4;2;0;0;2;2;4;2;2;4;0;0;0;2;0;0;4;0;2;2;4;0;2;4;0;0;0;0;0;2;0
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;4;0;2;0;0;6;4;0;4;0;4;8;4;2;0;0;0;2;2;4;0;0;2;4;0;0;4;12;0;0;0;0;2;0;4;0;0;4;12;8;6;0;6;0;0;0;4;4;2;0;0;2;0;2;0;0;0;0;2;4;4;0;2;0;0;8;2;2;0;0;2;0;0;0;0;2;4;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;2;2;2;6;4;6;2;2;6;2;0;0;0;0;0;8;2;0;0;0;0;0;10;2;0;0;0;0;2;0;0;4;2;0;14;0;0;2;0;6;0;4;0;0;2;0;4;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0
