;trump;president;great;united;people;states;new;federal;national;party;government;american;house;obama;news;state;republican;administration;russia;man;democrats;election;best;white;left;working;world;donald;big;security;history;love;2016;good;thank;story;department;york;washington;fbi;job;senate;bill;radical;court;military;supreme;campaign;country;may;health;help;vote;america;former;year;committee;fake;china;amazing;article;second;act;presidential;media;city;democrat;women;says;nothing;police;americans;2015;released;power;post;another;hard;announce;least;trying;reserve;fact;money;senator;huge;wonderful;investigating;law;strong;million;usa;team;justice;head;reason;border;times;months;bernie
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;20;10;2;2;0;4;2;2;2;6;0;0;2;0;2;0;0;2;2;20;0;2;0;2;0;0;2;0;4;0;0;6;0;2;0;0;0;6;0;2;4;0;2;2;0;10;0;0;0;0;4;0;2;0;0;2;6;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;10;8;0;0;0;20;2;0;0;2;0;4;4;2;4;2;2;2;0;2;6;4;0;2;2;4;0;2;2;6;0;0;0;0;2;0;8;2;0;0;0;2;2;0;4;0;2;0;2;0;2;0;2;4;2;2;0;2;2;0;4;0;0;2;0;0;2;0;2;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;6;2;0;2;0;2;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;6;0;2;4;2;2;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;6;2;6;0;0;2;2;4;0;6;0;4;0;4;2;0;4;0;0;0;0;2;2;0;2;0;2;6;0;0;0;2;0;2;2;0;0;2;2;2;0;0;2;2;0;0;2;2;0;4;0;2;2;0;2;2;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;2;0;0;2;4;0;0;2;0;0;0;2;4;0;32;0;4;0;2;0;2;2;0;2;0;0;2;0;4;0;2;0;2;0;2;2;4;2;2;0;8;2;0;0;2;4;0;0;2;0;4;2;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;2;0;2;4;0;2;0;8;0;2;4;8;6;2;0;2;2;0;0;4;0;0;2;2;6;2;0;4;2;0;6;10;2;2;0;4;0;0;2;0;2;0;0;2;2;2;14;2;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;0;2;4;2;2;4;6;4;2;0;0;0;0;4;2;0;2;0;0;2;0;0;2;0;0;2;0;0;2;4;2;2;0;0;2;0;2;2;0;2;0;4;0;0;0;0;0;2;0;2;0;2;0;6;0;0;2;2;0;4;2;0;0;4;2;2
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;6;2;2;0;2;6;6;0;0;2;0;4;4;2;0;4;2;0;0;2;2;0;0;2;0;2;0;2;2;2;0;0;2;0;0;4;2;0;0;0;0;4;0;0;0;2;0;0;2;2;0;4;0;0;2;0;0;4;0;2;0;0;2;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;6;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;2;0;8;0;0;0;0;4;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;2;0
