;ca;#covid19;tune;new;cases;continue;physical;home;update;take;confirmed;positive;hospitals;stay;health;public;flattening;curve;wear;workers;practice;lives;mask;reopening;moment;seriously;science;help;people;icu;testing;actions;thank;safe;#stayhomesavelives;distancing;californians;across;save;distancing#stayhomesavelives;states;staying;fight;work;healthy;allow;together;listen;spread;days;important;risk;million;guided;isnt;protect;love;frontlines;working;healthcare;provide;impact;literally;rate;state;lost;crisis;face;cas;care;12pm;reopen;federal;pandemic;homepractice;wash;cant;next;repeat;ability;simply;live;stores;stage;begin;honor;hands;counties;americans;practicing;data;seriouslystay;2;grateful;start;meet;great;slow;led;cannot
hospitals;0;0;0;0;0;0;0;0;0;0;0;0;0;16;8;2;10;8;0;2;10;6;0;0;2;14;4;0;6;22;2;4;4;2;8;2;0;2;0;20;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;10;0;2;2;4;0;0;0;4;0;0;0;0;12;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;4;12;0;2;4;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;10;10;0;0;20;6;0;2;4;16;8;2;0;8;0;2;2;2;8;8;0;0;4;10;2;0;2;2;6;2;4;0;4;0;2;0;0;6;2;0;0;0;6;0;0;6;4;2;0;0;0;0;0;0;0;2;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;6;8;0;4;4;4;0;10;2;2;14;2;4;4;2;4;0;2;2;2;2;0;0;2;4;4;0;2;0;6;4;0;0;0;2;2;0;8;2;8;0;2;2;4;6;6;0;0;0;2;6;0;2;4;0;4;6;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;2;4;6;0;0;0;0;0;2;0;4;4
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;4;0;2;2;2;12;4;2;16;2;4;2;0;2;0;2;2;2;4;0;0;0;4;4;0;2;6;6;6;0;0;0;2;2;0;14;2;4;0;2;0;0;0;2;0;0;0;0;2;4;0;0;0;6;4;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;2;4;0;2;0;0;2;0;2;2;4
flattening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;10;8;0;14;0;14;10;0;2;12;4;4;0;2;2;2;0;0;6;12;0;4;0;0;0;8;0;0;0;2;0;0;0;8;2;0;0;0;2;0;0;2;6;0;0;0;0;0;2;0;0;0;0;0;6;0;4;0;2;0;0;0;0;2;0;0;0;0;0;4;2;6;0;0;0;0;0;0;0;2
curve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;2;14;0;10;10;0;2;10;2;6;0;0;4;8;0;0;6;10;0;6;0;0;0;8;0;0;0;2;2;0;0;8;2;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;2;6;0;2;0;4;0;0;0;0;0;2;0;0;2;0;6;0;6;0;0;0;0;0;0;0;2
wear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;26;0;0;2;2;2;2;0;0;4;0;2;0;4;2;0;4;0;0;0;0;0;2;0;0;2;10;2;0;0;0;0;2;2;0;0;0;0;0;0;4;2;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;10;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;14;2;0;2;2;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;2;2;12;6;12;4;0;0;0;0;0;2;0;2;2;0;0;2;4;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;2;2;2;0;0;2;0
practice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;2;0;8;4;0;0;8;0;6;0;0;4;18;0;0;8;10;0;0;0;0;0;2;0;0;0;4;2;0;0;2;0;0;0;0;2;0;0;2;6;4;0;0;0;4;0;0;0;0;0;2;0;10;4;0;4;0;0;0;0;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;0;4;6;0;20;2;2;2;4;2;0;20;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;4;2;0;6;16;0;0;4;0;4;0;0;0;0;0;2;0;4;4;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;2;0;0;0;0;0;0
mask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;6;0;2;0;6;0;0;6;0;0;0;0;0;2;0;0;2;8;2;0;0;0;0;4;2;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;8;0;0
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;16;2;0;2;6;0;0;2;2;6;0;0;0;0;0;6;0;2;0;12;0;0;0;2;2;4;0;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;2;0;6;2;0;0;4;0;6;2;0;2;0;0;0;2;0;2;2
moment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;0;2;2;2;0;2;4;0;0;0;0;4;4;4;2;2;10;4;2;0;2;0;0;2;2;2;0;2;2;0;0;0;0;0;4;2;0;0;2;0;0;2;2;0;0;0;2;4;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;4;6;2;0;4;0
seriously;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;8;2;2;0;0;8;2;0;0;0;6;0;2;0;0;0;6;0;0;2;2;0;0;0;6;0;0;0;0;4;0;0;8;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0
science;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;4;0;0;2;4;0;0;0;2;2;4;0;2;4;12;2;0;2;0;2;0;0;14;4;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;8;0;0;0;0;2;0;2;2;2
