;ontario;people;thank;covid19;great;health;working;government;workers;#ontariospirit;businesses;new;work;community;business;together;ontarians;safe;care;happy;continue;jobs;ontarios;home;protect;province;help;support;job;year;family;join;part;everyone;plan;premier;trade;washington;proud;stay;important;hard;across;forward;economic;economy;meeting;visit;action;ford;making;communities;live;million;meet;ensure;@victorfedeli;please;families;@natlgovsassoc;celebrating;relief;local;students;mental;learn;canadian;infrastructure;spread;public;colleagues;morning;times;strong;march;taking;billion;take;partners;toronto;canada;update;dc;friends;week;2020;provide;challenging;contributions;build;federal;healthcare;spoke;trades;healthy;access;find;announced;auto;staff
premier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;4;0;0;28;0;0;20;0;0;0;0;0;2;4;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
trade;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;6;2;2;8;10;2;12;2;0;0;2;2;0;0;4;0;8;0;0;6;0;0;0;0;0;0;4;4;0;0;0;0;0;2;0;2;8;0;4;4;0;0;6;0;2;2;0;0;0;0;2;0;0;0;0;4;0;2;4;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;4;4;18;2;0;4;4;0;4;0;2;0;12;0;0;16;0;0;0;0;0;0;8;6;0;0;0;2;0;2;0;0;4;0;4;6;0;0;20;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;2;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;4;0;4;2;0;0;0;0;2;0;2;0;8;6;0;0;0;0;2;0;0;0;0;2;0;2;0;4;0;0;0;0;2;2;0;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;2;0;2;2;0;0;0;4;2;0;2;2;0;0;2;0;0;0;2;0;0;4;2;4;2;2;0;2;0;0;2;0;2;2;2;0;0;2;0;0;0;0;4;0;4;0;4;0;0;0;0;2
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;2;0;2;0;0;0;2;2;4;0;2;0;2;2;0;2;0;4;2;0;4;2;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;4;2;0;0;0;2;0;2;2;2
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;2;0;0;0;2;4;0;0;0;2;2;2;4;0;0;0;4;0;0;0;2;0;2;0;4;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;2;2;0;2;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;4
forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;4;2;2;0;2;2;2;0;4;0;4;0;2;6;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;4;0;4;2;0;0;2;0;0;0;2;0;2;6;0;0;0;0;0;2;4;6;0;0
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;4;4;4;2;2;0;6;0;0;2;0;2;2;0;0;0;2;4;0;0;0;0;0;4;0;0;8;0;4;0;4;0;2;2;0;0;2;4;0;4;2;2;0;0;0;0;2;4;2;0
