;#covid19;oklahoma;oklahomans;state;update;continue;help;live;together;testing;response;states;ppe;workers;join;oklahomas;plan;across;available;stay;people;hospital;#oklaproud;working;please;health;thank;businesses;great;statewide;take;proud;healthcare;home;resources;safely;data;gaming;remember;provide;april;pandemic;critical;work;facebook;watch;unemployment;symptoms;measures;safety;ensure;communities;surge;unprecedented;supplies;nation;team;program;crisis;protect;@healthyoklahoma;care;visit;proactive;new;fully;part;fellow;continuing;tested;spread;questions;ready;full;thankful;neighbor;due;test;info;sites;may;gas;discuss;phone;committed;call;reopen;@okguard;comprehensive;force;providing;census;beds;vulnerable;next;federal;responders;fund;based;updates
#oklaproud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;6;4;2;0;0;14;0;0;2;4;0;0;0;6;0;0;0;2;0;0;0;0;0;0;2;6;0;8;6;0;0;0;2;0;2;0;0;0;0;0;2;2;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;2;2;6;0;0;4;2;0;0;0;6;0;0;4;2;0;0;2;0;0;4;2;4;2;2;2;0;6;0;2;0;6;2;0;0;0;0;2;0;2;0;2;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;2;6;2;2;0;0;2;2;0;2;0;0;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;4;0;2;2;4;0;0;0;0;2;0;2;0;0;0;0;6;4;0;0;8;0;0;0;0;0;0;2;2;0;0;2;6;0;0;0;0;0;2;4;4;4;0;0;2;0;2;2;4;4;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;6;0;0;0;0;2;2;2;2;0;0;0;0;8;4;0;2;0;0;0;2;2;0;0;2;4;2;0;0;2;0;0;2;0;4;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;4;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;4;4;4;0;0;2;0;0;0;0;4;4;4;0;0;0;2;0;4;4;0;2;4;4;0;2;0;0;0;0;2;0;0;0;0;2;4;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;2;2;0;0;0;4;0;0;2;8;2;0;4;0;2;2;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;2;6;2;0;0;2;0;0;0;0;2;4;0;2;0;4
statewide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;6;0;0;0;2;0;0;0;6;0;2;0;2;2;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;2;6;0;0;0;0;0;0;0;4;2;4;2;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;2;0;2;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;4;2;6;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;2;0;0;0;0;0;2;0;0;4;0;2;0;2;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;6;0;0;2;2;0;0;0;0;0;0;0;6;0;6;4;0;0;0;2;0;6;2;0;0;2;0;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;0;2;0;0;0;0;0;0
healthcare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;4;0;0;0;0;0;0;2;4;2;0;0;2;0;4;0;0;0;0;4;0;2;0;4;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;4;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;4;2;0;0;0;0;0;2;2;0;4;2;4;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;2;2;0;0;4;0;0;0;0;0;0;4;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;6;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0
